bill_type,bill_id,title,summary,congress_num,sponsor_party,sponsor_state,cosponsors_total,cosponsors_dem,cosponsors_rep,cosponsors_ind,month_introduced,subject,committees,url,house_probabilities,house_predictions
H.R. ,1657,"To provide for a land exchange in the Chippewa National Forest, Minnesota, and for other purposes.",,1,R,MN,4,2,2,0,3,,House - Natural Resources,https://www.congress.gov/bill/118th-congress/house-bill/1657,0.23%,0
H.R. ,1656,To amend the Internal Revenue Code of 1986 to allow a credit against tax for charitable donations to nonprofit organizations providing workforce training.,,1,R,PA,0,0,0,0,3,,House - Ways and Means,https://www.congress.gov/bill/118th-congress/house-bill/1656,0.23%,0
H.R. ,1655,To amend the Higher Education Act of 1965 to extend Federal Pell Grant eligibility to certain short-term workforce programs.,,1,D,VA,2,2,0,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1655,0.23%,0
H.R. ,1654,To amend the Internal Revenue Code of 1986 to impose a higher rate of tax on bonuses and profits from sales of stock received by executives employed by failing banks that were closed and for which the Federal Deposit Insurance Corporation has been appointed as conservator or receiver.,,1,D,CA,18,18,0,0,3,,House - Ways and Means,https://www.congress.gov/bill/118th-congress/house-bill/1654,0.23%,0
H.R. ,1653,"To amend chapter 22 of title 44, United States Code, to ensure Presidential records are preserved, duly created when non-official electronic messaging accounts are used, and made available to the public and the next administration in a timely fashion to advance national security and accountability, and for other purposes.",,1,D,IL,0,0,0,0,3,,House - Oversight and Accountability,https://www.congress.gov/bill/118th-congress/house-bill/1653,0.23%,0
H.R. ,1652,To require the disclosure of certain visitor access records.,,1,D,IL,0,0,0,0,3,,House - Oversight and Accountability,https://www.congress.gov/bill/118th-congress/house-bill/1652,0.23%,0
H.R. ,1651,"To amend the Small Business Act to establish requirements for 7(a) agents, and for other purposes.",,1,D,MN,1,0,1,0,3,,House - Small Business,https://www.congress.gov/bill/118th-congress/house-bill/1651,0.23%,0
H.R. ,1650,To allow certain qualified law enforcement officers and retired law enforcement officers to carry a concealed firearm to protect children in a school zone.,,1,R,TX,3,0,3,0,3,,House - Judiciary,https://www.congress.gov/bill/118th-congress/house-bill/1650,0.23%,0
H.R. ,1649,"To direct the Attorney General to establish a grant program to provide for the qualified accreditation and re-certification of local law enforcement agencies, and for other purposes.",,1,D,NH,7,4,3,0,3,,House - Judiciary,https://www.congress.gov/bill/118th-congress/house-bill/1649,0.23%,0
H.R. ,1648,"To establish a grant program for use of ""internet of things"" technologies in airports, and for other purposes.",,1,R,TX,0,0,0,0,3,,House - Transportation and Infrastructure,https://www.congress.gov/bill/118th-congress/house-bill/1648,0.23%,0
H.R. ,1647,"To redesignate the Salem Maritime National Historic Site as the ""Salem Maritime National Historical Park"", and for the purposes.",,1,D,MA,0,0,0,0,3,,House - Natural Resources,https://www.congress.gov/bill/118th-congress/house-bill/1647,0.23%,0
H.R. ,1646,"To amend the Federal Meat Inspection Act and the Poultry Products Inspection Act to allow the interstate sale of State-inspected meat and poultry, and for other purposes.",,1,R,WV,0,0,0,0,3,,House - Agriculture,https://www.congress.gov/bill/118th-congress/house-bill/1646,0.23%,0
H.R. ,1645,"To amend the Agricultural Research, Extension, and Education Reform Act of 1998 to direct the Secretary of Agriculture to establish a national biochar research network, and for other purposes.",,1,R,IA,5,4,1,0,3,,House - Agriculture,https://www.congress.gov/bill/118th-congress/house-bill/1645,0.23%,0
H.R. ,1644,"To amend the Small Business Act to require a report on 7(a) agents, and for other purposes.",,1,R,PA,1,1,0,0,3,,House - Small Business,https://www.congress.gov/bill/118th-congress/house-bill/1644,0.23%,0
H.R. ,1643,"To establish the National Office of New Americans, to reduce obstacles to United States citizenship, to support the integration of immigrants into the social, cultural, economic, and civic life of the United States, and for other purposes.",,1,D,NY,19,19,0,0,3,,"House - Judiciary, Education and the Workforce, House Administration, Foreign Affairs, Homeland Security",https://www.congress.gov/bill/118th-congress/house-bill/1643,0.23%,0
H.R. ,1642,To amend the Federal Lands Recreation Enhancement Act to provide for an annual National Recreational Pass for law enforcement officers and firefighters.,,1,R,CA,4,0,4,0,3,,"House - Natural Resources, Agriculture",https://www.congress.gov/bill/118th-congress/house-bill/1642,0.23%,0
H.R. ,1641,"To amend title 39, United States Code, to enhance the administrative subpoena authority of the United States Postal Service, and for other purposes.",,1,R,NY,1,1,0,0,3,,House - Oversight and Accountability,https://www.congress.gov/bill/118th-congress/house-bill/1641,0.23%,0
H.R. ,1640,"To prohibit the Secretary of Energy from finalizing, implementing, or enforcing the proposed rule titled ""Energy Conservation Program: Energy Conservation Standards for Consumer Conventional Cooking Products"", and for other purposes.",,1,R,AZ,1,0,1,0,3,,House - Energy and Commerce,https://www.congress.gov/bill/118th-congress/house-bill/1640,0.23%,0
H.R. ,1639,To direct the Secretary of Veterans Affairs to establish the Zero Suicide Initiative pilot program of the Department of Veterans Affairs.,,1,D,NV,7,4,3,0,3,,House - Veterans' Affairs,https://www.congress.gov/bill/118th-congress/house-bill/1639,0.23%,0
H.R. ,1638,To amend title XVIII of the Social Security Act to improve access to mental health services under the Medicare program.,,1,D,CA,18,17,1,0,3,,"House - Energy and Commerce, Ways and Means",https://www.congress.gov/bill/118th-congress/house-bill/1638,0.23%,0
H.R. ,1637,"To recommend that the Center for Medicare and Medicaid Innovation test the effect of a dementia care management model, and for other purposes.",,1,R,IL,3,2,1,0,3,,"House - Energy and Commerce, Ways and Means",https://www.congress.gov/bill/118th-congress/house-bill/1637,0.23%,0
H.R. ,1636,"To amend title 39, United States Code, to maintain certain service standards for first-class mail, and for other purposes.",,1,D,IL,0,0,0,0,3,,House - Oversight and Accountability,https://www.congress.gov/bill/118th-congress/house-bill/1636,0.23%,0
H.R. ,1635,"To amend title 38, United States Code, to increase the amount of survivors' and dependents' educational assistance provided to an eligible individual pursuing a program of education at an institution in the Republic of the Philippines.",,1,R,VA,1,1,0,0,3,,House - Veterans' Affairs,https://www.congress.gov/bill/118th-congress/house-bill/1635,0.23%,0
H.R. ,1634,"To amend title XIX of the Social Security Act to cover physician services delivered by podiatric physicians to ensure access by Medicaid beneficiaries to appropriate quality foot and ankle care, to amend title XVIII of such Act to modify the requirements for diabetic shoes to be included under Medicare, and for other purposes.",,1,R,OH,1,1,0,0,3,,"House - Energy and Commerce, Ways and Means",https://www.congress.gov/bill/118th-congress/house-bill/1634,0.23%,0
H.R. ,1633,"To enhance safety requirements for trains transporting hazardous materials, and for other purposes.",,1,R,OH,10,5,5,0,3,,House - Transportation and Infrastructure,https://www.congress.gov/bill/118th-congress/house-bill/1633,0.23%,0
H.R. ,1632,"To eliminate taxpayer funding for the partisan broadcasting outlets known as National Public Radio and the Public Broadcasting Service, and for other purposes.",,1,R,TX,0,0,0,0,3,,House - Energy and Commerce,https://www.congress.gov/bill/118th-congress/house-bill/1632,0.23%,0
H.R. ,1631,"To amend title 17, United States Code, to reaffirm the importance of, and include requirements for, works incorporated by reference into law, and for other purposes.",,1,R,CA,1,1,0,0,3,,House - Judiciary,https://www.congress.gov/bill/118th-congress/house-bill/1631,0.23%,0
H.R. ,1630,"To establish competitive Federal grants that will empower community colleges and minority-serving institutions to become incubators for infant and toddler child care talent, training, and access on their campuses and in their communities, and for other purposes.",,1,D,CT,1,1,0,0,3,,"House - Education and the Workforce, Ways and Means",https://www.congress.gov/bill/118th-congress/house-bill/1630,0.23%,0
H.R. ,1629,"To make hemp, cannabidiol derived from hemp, and any other ingredient derived from hemp lawful for use under the Federal Food, Drug, and Cosmetic Act as a dietary ingredient in a dietary supplement, and for other purposes.",,1,R,VA,12,8,4,0,3,,House - Energy and Commerce,https://www.congress.gov/bill/118th-congress/house-bill/1629,0.23%,0
H.R. ,1628,"To authorize the regulation of interstate commerce with respect to food containing cannabidiol derived from hemp, and for other purposes.",,1,R,VA,4,3,1,0,3,,House - Energy and Commerce,https://www.congress.gov/bill/118th-congress/house-bill/1628,0.23%,0
H.R. ,1627,"To amend title 18, United States Code, to make the murder of a Federal, State, or local law enforcement officer a crime punishable by life in prison or death.",,1,R,CA,5,0,5,0,3,,House - Judiciary,https://www.congress.gov/bill/118th-congress/house-bill/1627,0.23%,0
H.R. ,1626,"To amend the Higher Education Act of 1965 to provide for certain freedom of association protections, and for other purposes.",,1,D,AZ,0,0,0,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1626,0.23%,0
H.R. ,1625,"To amend title 5, United States Code, to establish St. Patrick's Day as a Federal holiday.",,1,R,PA,0,0,0,0,3,,House - Oversight and Accountability,https://www.congress.gov/bill/118th-congress/house-bill/1625,0.23%,0
H.R. ,1624,"To amend the Animal Welfare Act to provide for the humane treatment of dogs, and for other purposes.",,1,R,PA,3,2,1,0,3,,House - Agriculture,https://www.congress.gov/bill/118th-congress/house-bill/1624,0.23%,0
H.R. ,1623,"To amend the Homeland Security Act of 2002 to exclude certain propane storage facilities from certain chemical security standards under the Department of Homeland Security, and for other purposes.",,1,R,MN,1,1,0,0,3,,"House - Homeland Security, Energy and Commerce",https://www.congress.gov/bill/118th-congress/house-bill/1623,0.23%,0
H.R. ,1622,To prohibit the mass cancellation of student loans.,,1,R,GA,6,0,6,0,3,,"House - Ways and Means, Education and the Workforce, Energy and Commerce",https://www.congress.gov/bill/118th-congress/house-bill/1622,0.23%,0
H.R. ,1621,"To authorize a national memorial to commemorate those whose lives were lost to COVID-19 and those who helped the country to recover, and for other purposes.",,1,D,NY,2,2,0,0,3,,House - Natural Resources,https://www.congress.gov/bill/118th-congress/house-bill/1621,0.23%,0
H.R. ,1620,"To promote affordable access to evidence-based opioid treatments under the Medicare program and require coverage of medication assisted treatment for opioid use disorders, opioid overdose reversal medications, and recovery support services by health plans without cost-sharing requirements.",,1,D,PA,1,1,0,0,3,,"House - Energy and Commerce, Ways and Means",https://www.congress.gov/bill/118th-congress/house-bill/1620,0.23%,0
H.R. ,1619,"To amend the Richard B. Russell National School Lunch Act to require schools to provide fluid milk substitutes upon request of a student or the parent or guardian of such student, and for other purposes.",,1,D,LA,1,0,1,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1619,0.23%,0
H.R. ,1618,"To establish the Commission on Sustaining Medicare and Social Security, and for other purposes.",,1,R,FL,0,0,0,0,3,,"House - Ways and Means, Energy and Commerce",https://www.congress.gov/bill/118th-congress/house-bill/1618,0.23%,0
H.R. ,1617,To amend title XVIII of the Social Security Act to add physical therapists to the list of providers allowed to utilize locum tenens arrangements under Medicare.,,1,R,FL,23,12,11,0,3,,"House - Energy and Commerce, Ways and Means",https://www.congress.gov/bill/118th-congress/house-bill/1617,0.23%,0
H.R. ,1616,"To address research on, and improve access to, supportive services for individuals with Long COVID.",,1,D,VA,1,0,1,0,3,,House - Energy and Commerce,https://www.congress.gov/bill/118th-congress/house-bill/1616,0.23%,0
H.R. ,1615,To prohibit the use of Federal funds to ban gas stoves.,,1,R,ND,0,0,0,0,3,,House - Energy and Commerce,https://www.congress.gov/bill/118th-congress/house-bill/1615,0.23%,0
H.R. ,1614,"To facilitate the creation of designated shooting ranges on National Forest System land and public land administered by the Bureau of Land Management for the public to use for recreational target shooting, and for other purposes.",,1,R,UT,1,1,0,0,3,,"House - Natural Resources, Agriculture",https://www.congress.gov/bill/118th-congress/house-bill/1614,0.23%,0
H.R. ,1613,To amend title XIX of the Social Security Act to improve transparency and prevent the use of abusive spread pricing and related practices in the Medicaid program.,,1,R,GA,5,3,2,0,3,,House - Energy and Commerce,https://www.congress.gov/bill/118th-congress/house-bill/1613,0.23%,0
H.R. ,1612,"To amend the Fair Labor Standards Act of 1938 to revise the definition of the term ""tipped employee"", and for other purposes.",,1,R,AR,1,0,1,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1612,0.23%,0
H.R. ,1611,"To amend the Wild and Scenic Rivers Act to designate certain segments of the Gila River system in the State of New Mexico as components of the National Wild and Scenic Rivers System, to provide for the transfer of administrative jurisdiction over certain Federal land in the State of New Mexico, and for other purposes.",,1,D,NM,2,2,0,0,3,,House - Natural Resources,https://www.congress.gov/bill/118th-congress/house-bill/1611,0.23%,0
H.R. ,1610,"To amend title XVIII of the Social Security Act to provide Medicare coverage for all physicians' services furnished by doctors of chiropractic within the scope of their license, and for other purposes.",,1,R,FL,23,7,16,0,3,,"House - Energy and Commerce, Ways and Means",https://www.congress.gov/bill/118th-congress/house-bill/1610,0.23%,0
H.R. ,1609,"To amend title 38, United States Code, to adjust the effective date of certain reductions and discontinuances of compensation, dependency and indemnity compensation, and pension under the laws administered by the Secretary of Veterans Affairs.",,1,R,WI,1,1,0,0,3,,House - Veterans' Affairs,https://www.congress.gov/bill/118th-congress/house-bill/1609,0.23%,0
H.R. ,1608,"To amend the Clean Air Act with respect to the ethanol waiver for Reid Vapor Pressure under that Act, and for other purposes.",,1,R,NE,17,4,13,0,3,,House - Energy and Commerce,https://www.congress.gov/bill/118th-congress/house-bill/1608,0.23%,0
H.R. ,1607,"To clarify jurisdiction with respect to certain Bureau of Reclamation pumped storage development, and for other purposes.",,1,R,AZ,1,1,0,0,3,,House - Natural Resources,https://www.congress.gov/bill/118th-congress/house-bill/1607,0.23%,0
H.R. ,1606,"To amend the Small Business Act to codify the Boots to Business Program, and for other purposes.",,1,D,IL,3,1,2,0,3,,House - Small Business,https://www.congress.gov/bill/118th-congress/house-bill/1606,0.23%,0
H.R. ,1605,"To authorize the President to provide disaster assistance to States and Indian Tribes under a major disaster recovery program, and for other purposes.",,1,R,NC,1,0,1,0,3,,House - Transportation and Infrastructure,https://www.congress.gov/bill/118th-congress/house-bill/1605,0.23%,0
H.R. ,1604,"To amend the Federal Meat Inspection Act to modify requirements for a meat food product of cattle to bear a ""Product of U.S.A."" label, and for other purposes.",,1,R,MT,5,2,3,0,3,,House - Agriculture,https://www.congress.gov/bill/118th-congress/house-bill/1604,0.23%,0
H.R. ,1603,"To repeal provisions of Public Law 117-169 relating to taxpayer subsidies for home electrification, and for other purposes.",,1,R,WA,0,0,0,0,3,,House - Energy and Commerce,https://www.congress.gov/bill/118th-congress/house-bill/1603,0.23%,0
H.R. ,1602,"To repeal title IV of the Economic Growth, Regulatory Relief, and Consumer Protection Act.",,1,D,CA,45,45,0,0,3,,House - Financial Services,https://www.congress.gov/bill/118th-congress/house-bill/1602,0.23%,0
H.R. ,1601,"To amend title 18, United States Code, to increase the length of the post-employment ban on lobbying of Members, officers, or employees of Congress by former Members of Congress.",,1,R,IA,0,0,0,0,3,,House - Judiciary,https://www.congress.gov/bill/118th-congress/house-bill/1601,0.23%,0
H.R. ,1600,"To amend the Fair Labor Standards Act of 1938 to prohibit certain practices by employers relating to restrictions on discussion of employees' and prospective employees' salary and benefit history, and for other purposes.",,1,D,DC,0,0,0,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1600,0.23%,0
H.R. ,1599,"To amend the Fair Labor Standards Act to require an employer providing an employment opportunity to disclose the wage range for such employment opportunity to employees and applicants for employment, and for other purposes.",,1,D,DC,0,0,0,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1599,0.23%,0
H.R. ,1598,"To amend the Fair Labor Standards Act of 1938 to prohibit discrimination in the payment of wages on account of sex, race, or national origin, and for other purposes.",,1,D,DC,0,0,0,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1598,0.23%,0
H.R. ,1597,To amend the Controlled Substances Act with respect to a penalty for illicit fentanyl and fentanyl-related substances.,,1,R,WA,1,0,1,0,3,,"House - Judiciary, Energy and Commerce",https://www.congress.gov/bill/118th-congress/house-bill/1597,0.23%,0
H.R. ,1596,"To amend the Economic Growth, Regulatory Relief, and Consumer Protection Act to repeal the exemption from enhanced supervision and prudential standards applicable to bank holding companies with total consolidated assets between $50,000,000,000 and $250,000,000,000.",,1,D,MA,0,0,0,0,3,,House - Financial Services,https://www.congress.gov/bill/118th-congress/house-bill/1596,0.23%,0
H.R. ,1595,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide for grants for State firearms dealer licensing programs, and for other purposes.",,1,D,NY,25,25,0,0,3,,House - Judiciary,https://www.congress.gov/bill/118th-congress/house-bill/1595,0.23%,0
H.R. ,1594,"To amend the Internal Revenue Code of 1986 to eliminate lead oxide, antimony, and sulfuric acid as taxable chemicals under the Superfund excise taxes.",,1,R,PA,1,0,1,0,3,,House - Ways and Means,https://www.congress.gov/bill/118th-congress/house-bill/1594,0.23%,0
H.R. ,1593,"To amend title 54, United States Code, to authorize the Secretary of the Interior to make financial assistance to States under the Land and Water Conservation Fund available for water quality projects, and for other purposes.",,1,R,FL,0,0,0,0,3,,House - Natural Resources,https://www.congress.gov/bill/118th-congress/house-bill/1593,0.23%,0
H.R. ,1592,"To require the inspector general of the Department of Transportation to conduct an audit on the use of Federal funds by certain entities providing public transportation, and for other purposes.",,1,R,NY,1,1,0,0,3,,House - Transportation and Infrastructure,https://www.congress.gov/bill/118th-congress/house-bill/1592,0.23%,0
H.R. ,1591,"To amend section 7014 of the Elementary and Secondary Education Act of 1965 to advance toward full Federal funding for impact aid, and for other purposes.",,1,D,CA,1,0,1,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1591,0.23%,0
H.R. ,1590,"To designate the clinic of the Department of Veterans Affairs in Gallup, New Mexico, as the Hiroshi ""Hershey"" Miyamura VA Clinic.",,1,D,NM,1,1,0,0,3,,House - Veterans' Affairs,https://www.congress.gov/bill/118th-congress/house-bill/1590,0.23%,0
H.R. ,1589,"To amend the Richard B. Russell National School Lunch Act to improve nutrition in tribal areas, and for other purposes.",,1,D,NM,3,3,0,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1589,0.23%,0
H.R. ,1588,"To establish an AmeriCorps Administration to carry out the national and volunteer service programs, to expand participation in such programs, and for other purposes.",,1,D,CT,29,29,0,0,3,,"House - Education and the Workforce, Ways and Means, Natural Resources, Agriculture",https://www.congress.gov/bill/118th-congress/house-bill/1588,0.23%,0
H.R. ,1587,To provide for appropriate cost-sharing for individuals 26 years of age or younger for insulin products covered under private health plans and Medicaid.,,1,D,OH,0,0,0,0,3,,"House - Energy and Commerce, Ways and Means, Education and the Workforce",https://www.congress.gov/bill/118th-congress/house-bill/1587,0.23%,0
H.R. ,1586,"To allow the Secretary of the Interior and the Secretary of Agriculture to use a fire retardant, chemical, or water for fire suppression, control, or prevention activities.",,1,R,CA,28,3,25,0,3,,"House - Transportation and Infrastructure, Natural Resources, Agriculture",https://www.congress.gov/bill/118th-congress/house-bill/1586,0.23%,0
H.R. ,1585,To require a State receiving funds pursuant to title II of the Elementary and Secondary Education Act of 1965 to implement a State policy to prohibit a school employee from conducting certain social gender transition interventions.,,1,R,CA,0,0,0,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1585,0.23%,0
H.R. ,1584,"To establish Plum Island, New York, as a national monument.",,1,R,NY,0,0,0,0,3,,House - Natural Resources,https://www.congress.gov/bill/118th-congress/house-bill/1584,0.23%,0
H.R. ,1583,"To amend title 18, United States Code, to prohibit interfering with voter registration, and for other purposes.",,1,D,NJ,1,1,0,0,3,,"House - Judiciary, House Administration",https://www.congress.gov/bill/118th-congress/house-bill/1583,0.23%,0
H.R. ,1582,"To amend the Internal Revenue Code of 1986 to treat certain amounts paid for physical activity, fitness, and exercise as amounts paid for medical care.",,1,R,PA,7,3,4,0,3,,House - Ways and Means,https://www.congress.gov/bill/118th-congress/house-bill/1582,0.23%,0
H.R. ,1581,To amend the Food and Nutrition Act of 2008 to standardize work requirements for able-bodied adults enrolled in the supplemental nutrition assistance program.,,1,R,SD,24,0,24,0,3,,House - Agriculture,https://www.congress.gov/bill/118th-congress/house-bill/1581,0.23%,0
H.R. ,1580,"To amend the Controlled Substances Act with respect to the scheduling of fentanyl-related substances, and for other purposes.",,1,R,LA,0,0,0,0,3,,"House - Energy and Commerce, Judiciary",https://www.congress.gov/bill/118th-congress/house-bill/1580,0.23%,0
H.R. ,1579,"To amend the Securities Act of 1933 and the Dodd-Frank Wall Street Reform and Consumer Protection Act with respect to the definition of accredited investor, and for other purposes.",,1,R,MI,0,0,0,0,3,,House - Financial Services,https://www.congress.gov/bill/118th-congress/house-bill/1579,0.23%,0
H.R. ,1578,"To provide grants to States to ensure that all students in the middle grades are taught an academically rigorous curriculum with effective supports so that students complete the middle grades prepared for success in secondary school and postsecondary endeavors, to improve State and local educational agency policies and programs relating to the academic achievement of students in the middle grades, to develop and implement effective middle grades models for struggling students, and for other purposes.",,1,D,AZ,1,1,0,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1578,0.23%,0
H.R. ,1577,"To amend the National Environmental Policy Act of 1969 to clarify ambiguous provisions, reflect modern technologies, optimize interagency coordination, and facilitate a more efficient, effective, and timely environmental review process.",,1,R,LA,0,0,0,0,3,,House - Natural Resources,https://www.congress.gov/bill/118th-congress/house-bill/1577,0.23%,0
H.R. ,1576,"To provide exceptions from permitting and fee requirements for content creation, regardless of distribution platform, including still photography, digital or analog video, and digital or analog audio recording activities, conducted on land under the jurisdiction of the Secretary of Agriculture and the Secretary of the Interior, and for other purposes.",,1,R,ID,0,0,0,0,3,,"House - Natural Resources, Agriculture",https://www.congress.gov/bill/118th-congress/house-bill/1576,0.23%,0
H.R. ,1575,To require the Secretary of Health and Human Services to award grants to pregnancy-help organizations.,,1,R,ID,0,0,0,0,3,,House - Energy and Commerce,https://www.congress.gov/bill/118th-congress/house-bill/1575,0.23%,0
H.R. ,1574,"To amend the Securities Act of 1933 to permit an individual to invest in private issuers upon acknowledging the investment risks, and for other purposes.",,1,R,OH,0,0,0,0,3,,House - Financial Services,https://www.congress.gov/bill/118th-congress/house-bill/1574,0.23%,0
H.R. ,1573,To require the Secretary of Education to accept certain documentation from the Department of Defense as proof of employment for purposes of the public service loan forgiveness program.,,1,D,VA,0,0,0,0,3,,House - Education and the Workforce,https://www.congress.gov/bill/118th-congress/house-bill/1573,0.23%,0
H.R. ,1572,"To award a Congressional Gold Medal to the female telephone operators of the Army Signal Corps, known as the ""Hello Girls"".",,1,D,MO,3,1,2,0,3,,"House - Financial Services, House Administration",https://www.congress.gov/bill/118th-congress/house-bill/1572,0.23%,0
H.R. ,1571,"To amend the Personal Responsibility and Work Opportunity Act of 1996 to provide certain Federal public benefits to citizens of the Federated States of Micronesia, the Republic of the Marshall Islands, and the Republic of Palau who are lawfully residing in the United States if they are otherwise qualified, consistent with section 141 of the Compacts of Free Association.",,1,D,HI,4,1,3,0,3,,"House - Oversight and Accountability, Ways and Means, Agriculture",https://www.congress.gov/bill/118th-congress/house-bill/1571,0.23%,0
H.R. ,1570,To enhance mental health and psychosocial support within United States development and humanitarian assistance programs.,,1,D,PA,6,4,2,0,3,,House - Foreign Affairs,https://www.congress.gov/bill/118th-congress/house-bill/1570,0.23%,0
H.R. ,1569,"To prohibit the Secretary of the Interior from issuing leases to certain entities affiliated with the Chinese Communist Party, and for other purposes.",,1,R,FL,2,1,1,0,3,,"House - Natural Resources, Agriculture",https://www.congress.gov/bill/118th-congress/house-bill/1569,0.23%,0
H.R. ,1568,"To amend the Tariff Act of 1930 to protect personally identifiable information, and for other purposes.",,1,R,FL,1,1,0,0,3,,House - Ways and Means,https://www.congress.gov/bill/118th-congress/house-bill/1568,0.23%,0
H.R. ,1567,"To require that the Secretary of Agriculture and the Secretary of the Interior submit accurate reports regarding hazardous fuels reduction activities, and for other purposes.",,1,R,WI,0,0,0,0,3,,"House - Natural Resources, Agriculture",https://www.congress.gov/bill/118th-congress/house-bill/1567,0.23%,0
H.R. ,1566,"To permit employees of the House of Representatives who are authorized to possess certain weapons in the District of Columbia to bring such weapons into House Office Buildings for secure storage, and for other purposes.",,1,R,FL,1,0,1,0,3,,"House - House Administration, Transportation and Infrastructure",https://www.congress.gov/bill/118th-congress/house-bill/1566,0.23%,0
H.R. ,1565,To amend title XVIII of the Social Security Act to remove the 96-hour physician certification requirement for inpatient critical access hospital services.,,1,R,NE,1,1,0,0,3,,House - Ways and Means,https://www.congress.gov/bill/118th-congress/house-bill/1565,0.23%,0
H.R. ,1564,"To direct the Secretary of State to submit to Congress a report on the designation of the Gulf Cartel, the Cartel Del Noreste, the Cartel de Sinaloa, and the Cartel de Jalisco Nueva Generacion as foreign terrorist organizations, and for other purposes.",,1,R,TX,25,0,25,0,3,,House - Judiciary,https://www.congress.gov/bill/118th-congress/house-bill/1564,0.23%,0
H.R. ,1563,"To prohibit contributions to the United Nations Human Rights Council, and for other purposes.",,1,R,TX,14,0,14,0,3,,House - Foreign Affairs,https://www.congress.gov/bill/118th-congress/house-bill/1563,0.23%,0
H.R. ,1562,To amend the Internal Revenue Code of 1986 to repeal certain credits.,,1,R,PA,3,0,3,0,3,,House - Ways and Means,https://www.congress.gov/bill/118th-congress/house-bill/1562,0.23%,0
H.R. ,1561,"To allow States to elect to observe year-round daylight saving time, and for other purposes.",,1,R,SC,2,0,2,0,3,,House - Energy and Commerce,https://www.congress.gov/bill/118th-congress/house-bill/1561,0.23%,0
