"Legislation Number",URL,Congress,Title,"Amends Bill",Sponsor,"Date Offered","Date of Introduction","Number of Cosponsors","Date Submitted","Date Proposed",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
"H.R. 1257",https://www.congress.gov/bill/118th-congress/house-bill/1257,"118th Congress (2023-2024)","Reducing Helicopter Noise in the District of Columbia Act",,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",,02/28/2023,0,,,"House - Transportation and Infrastructure","Referred to the Subcommittee on Aviation.",03/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1256",https://www.congress.gov/bill/118th-congress/house-bill/1256,"118th Congress (2023-2024)","Veterans Health Administration Leadership Transformation Act",,"Mrvan, Frank J. [Rep.-D-IN-1]",,02/28/2023,0,,,"House - Veterans' Affairs","Referred to the House Committee on Veterans' Affairs.",02/28/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1255",https://www.congress.gov/bill/118th-congress/house-bill/1255,"118th Congress (2023-2024)","Sgt. Isaac Woodard, Jr. and Sgt. Joseph H. Maddox GI Bill Restoration Act of 2023",,"Moulton, Seth [Rep.-D-MA-6]",,02/28/2023,12,,,"House - Veterans' Affairs","Referred to the House Committee on Veterans' Affairs.",02/28/2023,"Clyburn, James E. [Rep.-D-SC-6]","Kamlager-Dove, Sydney [Rep.-D-CA-37]","Omar, Ilhan [Rep.-D-MN-5]","Pressley, Ayanna [Rep.-D-MA-7]","Horsford, Steven [Rep.-D-NV-4]","Wild, Susan [Rep.-D-PA-7]","Sewell, Terri A. [Rep.-D-AL-7]","Foushee, Valerie P. [Rep.-D-NC-4]","Moore, Gwen [Rep.-D-WI-4]","Veasey, Marc A. [Rep.-D-TX-33]","Meeks, Gregory W. [Rep.-D-NY-5]","Moskowitz, Jared [Rep.-D-FL-23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1254",https://www.congress.gov/bill/118th-congress/house-bill/1254,"118th Congress (2023-2024)","RUSSIA Act",,"Morelle, Joseph D. [Rep.-D-NY-25]",,02/28/2023,3,,,"House - Foreign Affairs","Referred to the House Committee on Foreign Affairs.",02/28/2023,"Golden, Jared F. [Rep.-D-ME-2]","Kaptur, Marcy [Rep.-D-OH-9]","Fitzpatrick, Brian K. [Rep.-R-PA-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1253",https://www.congress.gov/bill/118th-congress/house-bill/1253,"118th Congress (2023-2024)","To enhance the security of the United States and its allies, and for other purposes.",,"Miller, Carol D. [Rep.-R-WV-1]",,02/28/2023,2,,,"House - Foreign Affairs, Energy and Commerce, Financial Services, Oversight and Accountability, Ways and Means, Judiciary","Referred to the Committee on Foreign Affairs, and in addition to the Committees on Energy and Commerce, Financial Services, Oversight and Accountability, Ways and Means, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",02/28/2023,"Arrington, Jodey C. [Rep.-R-TX-19]","Cuellar, Henry [Rep.-D-TX-28]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1252",https://www.congress.gov/bill/118th-congress/house-bill/1252,"118th Congress (2023-2024)","Doris Miller Congressional Gold Medal Act",,"Mfume, Kweisi [Rep.-D-MD-7]",,02/28/2023,10,,,"House - Financial Services, House Administration","Referred to the Committee on Financial Services, and in addition to the Committee on House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",02/28/2023,"Cárdenas, Tony [Rep.-D-CA-29]","Norton, Eleanor Holmes [Del.-D-DC-At Large]","Blunt Rochester, Lisa [Rep.-D-DE-At Large]","Johnson, Henry C. ""Hank,"" Jr. [Rep.-D-GA-4]","Davis, Danny K. [Rep.-D-IL-7]","Carson, Andre [Rep.-D-IN-7]","Titus, Dina [Rep.-D-NV-1]","Velazquez, Nydia M. [Rep.-D-NY-7]","Connolly, Gerald E. [Rep.-D-VA-11]","Porter, Katie [Rep.-D-CA-47]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1251",https://www.congress.gov/bill/118th-congress/house-bill/1251,"118th Congress (2023-2024)","To authorize the President to award the Medal of Honor to Doris Miller posthumously for acts of valor while a member of the Navy during World War II.",,"Mfume, Kweisi [Rep.-D-MD-7]",,02/28/2023,21,,,"House - Armed Services","Referred to the House Committee on Armed Services.",02/28/2023,"Thompson, Mike [Rep.-D-CA-4]","Lee, Barbara [Rep.-D-CA-12]","Schiff, Adam B. [Rep.-D-CA-30]","Norton, Eleanor Holmes [Del.-D-DC-At Large]","Johnson, Henry C. ""Hank,"" Jr. [Rep.-D-GA-4]","Scott, David [Rep.-D-GA-13]","Davis, Danny K. [Rep.-D-IL-7]","Carson, Andre [Rep.-D-IN-7]","McGovern, James P. [Rep.-D-MA-2]","Lynch, Stephen F. [Rep.-D-MA-8]","McCollum, Betty [Rep.-D-MN-4]","Thompson, Bennie G. [Rep.-D-MS-2]","Payne, Donald M., Jr. [Rep.-D-NJ-10]","Watson Coleman, Bonnie [Rep.-D-NJ-12]","Titus, Dina [Rep.-D-NV-1]","Velazquez, Nydia M. [Rep.-D-NY-7]","Brown, Shontel M. [Rep.-D-OH-11]","Jackson Lee, Sheila [Rep.-D-TX-18]","Veasey, Marc A. [Rep.-D-TX-33]","Connolly, Gerald E. [Rep.-D-VA-11]","Moore, Gwen [Rep.-D-WI-4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1250",https://www.congress.gov/bill/118th-congress/house-bill/1250,"118th Congress (2023-2024)","Family Farm and Small Business Exemption Act",,"Mann, Tracey [Rep.-R-KS-1]",,02/28/2023,33,,,"House - Education and the Workforce","Referred to the House Committee on Education and the Workforce.",02/28/2023,"Moore, Barry [Rep.-R-AL-2]","LaMalfa, Doug [Rep.-R-CA-1]","Panetta, Jimmy [Rep.-D-CA-19]","Valadao, David G. [Rep.-R-CA-22]","Cammack, Kat [Rep.-R-FL-3]","Steube, W. Gregory [Rep.-R-FL-17]","Franklin, C. Scott [Rep.-R-FL-18]","Scott, Austin [Rep.-R-GA-8]","Moylan, James C. [Del.-R-GU-At Large]","Miller-Meeks, Mariannette [Rep.-R-IA-1]","Nunn, Zachary [Rep.-R-IA-3]","Feenstra, Randy [Rep.-R-IA-4]","Miller, Mary E. [Rep.-R-IL-15]","Sorensen, Eric [Rep.-D-IL-17]","LaTurner, Jake [Rep.-R-KS-2]","Bergman, Jack [Rep.-R-MI-1]","Finstad, Brad [Rep.-R-MN-1]","Guest, Michael [Rep.-R-MS-3]","Davis, Donald G. [Rep.-D-NC-1]","Bacon, Don [Rep.-R-NE-2]","Lucas, Frank D. [Rep.-R-OK-3]","Chavez-DeRemer, Lori [Rep.-R-OR-5]","Meuser, Daniel [Rep.-R-PA-9]","DesJarlais, Scott [Rep.-R-TN-4]","Ellzey, Jake [Rep.-R-TX-6]","McCaul, Michael T. [Rep.-R-TX-10]","Perez, Marie Gluesenkamp [Rep.-D-WA-3]","Hageman, Harriet M. [Rep.-R-WY-At Large]","Boebert, Lauren [Rep.-R-CO-3]","Fleischmann, Charles J. ""Chuck"" [Rep.-R-TN-3]","Craig, Angie [Rep.-D-MN-2]","Manning, Kathy E. [Rep.-D-NC-6]","Scholten, Hillary J. [Rep.-D-MI-3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1249",https://www.congress.gov/bill/118th-congress/house-bill/1249,"118th Congress (2023-2024)","Opportunities for Fairness in Farming Act of 2023",,"Mace, Nancy [Rep.-R-SC-1]",,02/28/2023,1,,,"House - Agriculture","Referred to the House Committee on Agriculture.",02/28/2023,"Titus, Dina [Rep.-D-NV-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1248",https://www.congress.gov/bill/118th-congress/house-bill/1248,"118th Congress (2023-2024)","Confederate Monument Removal Act",,"Lee, Barbara [Rep.-D-CA-12]",,02/28/2023,8,,,"House - House Administration","Referred to the House Committee on House Administration.",02/28/2023,"Kamlager-Dove, Sydney [Rep.-D-CA-37]","Norton, Eleanor Holmes [Del.-D-DC-At Large]","Cherfilus-McCormick, Sheila [Rep.-D-FL-20]","Wilson, Frederica S. [Rep.-D-FL-24]","McGovern, James P. [Rep.-D-MA-2]","Hoyer, Steny H. [Rep.-D-MD-5]","Thompson, Bennie G. [Rep.-D-MS-2]","Bowman, Jamaal [Rep.-D-NY-16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1247",https://www.congress.gov/bill/118th-congress/house-bill/1247,"118th Congress (2023-2024)","To award a Congressional Gold Medal to the Freedom Riders, collectively, in recognition of their unique contribution to Civil Rights, which inspired a revolutionary movement for equality in interstate travel.",,"Johnson, Henry C. ""Hank,"" Jr. [Rep.-D-GA-4]",,02/28/2023,64,,,"House - Financial Services, House Administration","Referred to the Committee on Financial Services, and in addition to the Committee on House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",02/28/2023,"Sewell, Terri A. [Rep.-D-AL-7]","Gallego, Ruben [Rep.-D-AZ-3]","Matsui, Doris O. [Rep.-D-CA-7]","Eshoo, Anna G. [Rep.-D-CA-16]","Costa, Jim [Rep.-D-CA-21]","Carbajal, Salud O. [Rep.-D-CA-24]","Ruiz, Raul [Rep.-D-CA-25]","Schiff, Adam B. [Rep.-D-CA-30]","Sherman, Brad [Rep.-D-CA-32]","Torres, Norma J. [Rep.-D-CA-35]","Kamlager-Dove, Sydney [Rep.-D-CA-37]","Jacobs, Sara [Rep.-D-CA-51]","Norton, Eleanor Holmes [Del.-D-DC-At Large]","Moskowitz, Jared [Rep.-D-FL-23]","Wilson, Frederica S. [Rep.-D-FL-24]","Williams, Nikema [Rep.-D-GA-5]","Scott, David [Rep.-D-GA-13]","Casten, Sean [Rep.-D-IL-6]","Davis, Danny K. [Rep.-D-IL-7]","Carter, Troy [Rep.-D-LA-2]","McGovern, James P. [Rep.-D-MA-2]","Moulton, Seth [Rep.-D-MA-6]","Lynch, Stephen F. [Rep.-D-MA-8]","Keating, William R. [Rep.-D-MA-9]","Sarbanes, John P. [Rep.-D-MD-3]","Trone, David J. [Rep.-D-MD-6]","Stevens, Haley M. [Rep.-D-MI-11]","Tlaib, Rashida [Rep.-D-MI-12]","Phillips, Dean [Rep.-D-MN-3]","McCollum, Betty [Rep.-D-MN-4]","Bush, Cori [Rep.-D-MO-1]","Thompson, Bennie G. [Rep.-D-MS-2]","Ross, Deborah K. [Rep.-D-NC-2]","Adams, Alma S. [Rep.-D-NC-12]","Pallone, Frank, Jr. [Rep.-D-NJ-6]","Watson Coleman, Bonnie [Rep.-D-NJ-12]","Titus, Dina [Rep.-D-NV-1]","Meeks, Gregory W. [Rep.-D-NY-5]","Meng, Grace [Rep.-D-NY-6]","Espaillat, Adriano [Rep.-D-NY-13]","Tonko, Paul [Rep.-D-NY-20]","Morelle, Joseph D. [Rep.-D-NY-25]","Higgins, Brian [Rep.-D-NY-26]","Beatty, Joyce [Rep.-D-OH-3]","Brown, Shontel M. [Rep.-D-OH-11]","Bonamici, Suzanne [Rep.-D-OR-1]","Blumenauer, Earl [Rep.-D-OR-3]","Boyle, Brendan F. [Rep.-D-PA-2]","Scanlon, Mary Gay [Rep.-D-PA-5]","Wild, Susan [Rep.-D-PA-7]","Cartwright, Matt [Rep.-D-PA-8]","Mace, Nancy [Rep.-R-SC-1]","Cohen, Steve [Rep.-D-TN-9]","Cuellar, Henry [Rep.-D-TX-28]","Veasey, Marc A. [Rep.-D-TX-33]","DelBene, Suzan K. [Rep.-D-WA-1]","Pocan, Mark [Rep.-D-WI-2]","Moore, Gwen [Rep.-D-WI-4]","Correa, J. Luis [Rep.-D-CA-46]","Sablan, Gregorio Kilili Camacho [Del.-D-MP-At Large]","Hayes, Jahana [Rep.-D-CT-5]","DeSaulnier, Mark [Rep.-D-CA-10]","Green, Al [Rep.-D-TX-9]","Fletcher, Lizzie [Rep.-D-TX-7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1246",https://www.congress.gov/bill/118th-congress/house-bill/1246,"118th Congress (2023-2024)","To authorize leases of up to 99 years for land held in trust for federally recognized Indian Tribes.",,"Hageman, Harriet M. [Rep.-R-WY-At Large]",,02/28/2023,3,,,"House - Natural Resources","Referred to the House Committee on Natural Resources.",02/28/2023,"Leger Fernandez, Teresa [Rep.-D-NM-3]","Grijalva, Raúl M. [Rep.-D-AZ-7]","LaMalfa, Doug [Rep.-R-CA-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1245",https://www.congress.gov/bill/118th-congress/house-bill/1245,"118th Congress (2023-2024)","Grizzly Bear State Management Act of 2023",,"Hageman, Harriet M. [Rep.-R-WY-At Large]",,02/28/2023,2,,,"House - Natural Resources","Referred to the House Committee on Natural Resources.",02/28/2023,"Zinke, Ryan K. [Rep.-R-MT-1]","Rosendale Sr., Matthew M. [Rep.-R-MT-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
