Bill Type,Congress,Number of Cosponsors,Cosponsor Dems,Cosponsor Reps,Cosponsor Ind,Cosponsor States,Committees,Latest Action,Subject,Sponsor Title,Sponsor Party,Sponsor State,Month Introduced,"Agriculture, Nutrition, and Forestry",Appropriations,Armed Services,"Banking, Housing, and Urban Affairs",Budget,"Commerce, Science, and Transportation",Energy and Natural Resources,Environment and Public Works,Finance,Foreign Relations,"Health, Education, Labor, and Pensions",Homeland Security and Governmental Affairs,Judiciary,Rules and Administration,Small Business and Entrepreneurship,Veterans Affairs,International Narcotics Control,Ethics,Indian Affairs,Intelligence,Printing,Taxation,Library,Economic,bill_passed,bill_referred_committee
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,MA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,1,0,1,0,1,Senate - Veterans' Affairs,Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 113-203.,Armed Forces and National Security,Sen.,D,NH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,1,0,1,0,1,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,Advisory bodies,Sen.,D,CA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,11,7,4,0,9,Senate - Environment and Public Works,Placed on Senate Legislative Calendar under General Orders. Calendar No. 413.,Environmental Protection,Sen.,D,CA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,0,0,0,0,0,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,Alternative and renewable resources,Sen.,D,CA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,1,0,1,0,1,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,Environmental health,Sen.,D,CA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,10,7,2,1,7,Senate - Judiciary,By Senator Leahy from Committee on the Judiciary filed written report under authority of the order of the Senate of 03/23/2013. Report No. 113-9. Additional and Minority views filed.,Administrative law and regulatory procedures,Sen.,D,VT,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,8,8,0,0,8,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,Appropriations,Sen.,D,CA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,2,2,0,0,2,Senate - Finance,Read twice and referred to the Committee on Finance.,Child care and development,Sen.,D,CA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Finance,Read twice and referred to the Committee on Finance.,Administrative law and regulatory procedures,Sen.,D,CA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,1,1,0,0,1,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,Administrative law and regulatory procedures,Sen.,D,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,2,2,0,0,2,Senate - Energy and Natural Resources,Placed on Senate Legislative Calendar under General Orders. Calendar No. 104.,Aviation and airports,Sen.,D,CA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,1,1,0,0,1,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,California,Sen.,D,CA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,1,1,0,0,1,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,California,Sen.,D,CA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,7,7,0,0,7,Senate - Veterans' Affairs,Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 113-203.,Government trust funds,Sen.,D,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,6,6,0,0,5,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",Advisory bodies,Sen.,D,NY,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,Administrative law and regulatory procedures,Sen.,D,NJ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,Administrative law and regulatory procedures,Sen.,D,NJ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,MI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,MI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,MI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,MI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,MI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,MI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,MI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,MI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,2,2,0,0,2,Senate - Finance,Read twice and referred to the Committee on Finance.,Congressional oversight,Sen.,D,MN,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,MI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Private Legislation,Sen.,D,MI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,56,55,0,1,35,"Senate - Health, Education, Labor, and Pensions","Committee on Health, Education, Labor, and Pensions. Hearings held.",Civil actions and liability,Sen.,D,MD,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,5,5,0,0,5,Senate - Rules and Administration,Committee on Rules and Administration. Hearings held.,Disability and paralysis,Sen.,D,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,1,1,0,0,1,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources. (text of measure as introduced: CR S219-220),Congressional oversight,Sen.,D,MD,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,1,1,0,0,1,House - Natural Resources | Senate - Energy and Natural Resources,Referred to the Subcommittee on Public Lands and Environmental Regulation.,"Forests, forestry, trees",Sen.,D,WA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,9,8,0,1,9,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs. (text of measure as introduced: CR S221-222)",Administrative law and regulatory procedures,Sen.,D,IL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,16,15,0,1,13,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S222),Bankruptcy,Sen.,D,IL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Finance,Read twice and referred to the Committee on Finance.,Congressional oversight,Sen.,D,PA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,25,20,4,1,20,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",Child health,Sen.,D,RI,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,8,6,0,2,8,Senate - Finance,Read twice and referred to the Committee on Finance.,Health,Sen.,D,MN,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,22,20,1,1,18,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,Foreign aid and international relief,Sen.,D,CA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,4,4,0,0,4,Senate - Foreign Relations,Placed on Senate Legislative Calendar under General Orders. Calendar No. 217.,Area studies and international education,Sen.,D,CA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Advisory bodies,Sen.,D,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,12,12,0,0,10,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,Administrative law and regulatory procedures,Sen.,D,NY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,5,3,2,0,3,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,Aquatic ecology,Sen.,D,OH,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,10,10,0,0,10,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",Assault and harassment offenses,Sen.,D,PA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Assault and harassment offenses,Sen.,D,RI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,4,4,0,0,4,Senate - Veterans' Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 185.,Administrative law and regulatory procedures,Sen.,D,WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,21,20,0,1,16,Senate - Homeland Security and Governmental Affairs,Committee on Homeland Security and Governmental Affairs. Hearings held. Hearings printed: S.Hrg. 113-713.,Congressional elections,Sen.,D,DE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,6,3,3,0,6,"Senate - Commerce, Science, and Transportation",Placed on Senate Legislative Calendar under General Orders. Calendar No. 262.,Child health,Sen.,D,WV,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,3,3,0,0,3,Senate - Finance,Read twice and referred to the Committee on Finance.,Congressional oversight,Sen.,D,MT,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,8,7,1,0,6,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.","Agricultural prices, subsidies, credit",Sen.,D,MT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",Abortion,Sen.,D,PA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",Abortion,Sen.,D,PA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",Health,Sen.,D,PA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,Armed Forces and National Security,Sen.,D,CA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,5,2,1,2,4,Senate - Judiciary,Placed on Senate Legislative Calendar under General Orders. Calendar No. 24.,Administrative law and regulatory procedures,Sen.,D,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,0,0,0,0,0,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Crime and Law Enforcement,Sen.,D,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,1,1,0,0,1,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Child safety and welfare,Sen.,D,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,3,2,1,0,3,Senate - Judiciary,Placed on Senate Legislative Calendar under General Orders. Calendar No. 316.,Computer security and identity theft,Sen.,D,MN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,24,24,0,0,15,Senate - Judiciary,Placed on Senate Legislative Calendar under General Orders. Calendar No. 27.,Academic performance and assessments,Sen.,D,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,18,12,6,0,15,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",Education programs funding,Sen.,D,AK,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,9,9,0,0,9,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",Consumer credit,Sen.,D,OR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,2,2,0,0,1,Senate - Indian Affairs,By Senator Tester from Committee on Indian Affairs filed written report. Report No. 113-208. Additional views filed.,Federal-Indian relations,Sen.,D,MT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S. ,113,38,24,14,0,31,Senate - Judiciary,Motion to proceed to consideration of measure made in Senate. (consideration: CR S3195-3196),Correctional facilities and imprisonment,Sen.,D,MN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,3,1,2,0,2,House - Transportation and Infrastructure | Senate - Environment and Public Works,Referred to the Subcommittee on Highways and Transit.,Athletes,Sen.,D,MO,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,10,10,0,0,10,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",Civil actions and liability,Sen.,D,IA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,3,2,1,0,3,Senate - Appropriations,Read twice and referred to the Committee on Appropriations.,Appropriations,Sen.,D,CO,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,5,5,0,0,5,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",Administrative law and regulatory procedures,Sen.,D,OR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,5,5,0,0,5,Senate - Judiciary,"Committee on the Judiciary Senate Subcommittee on Constitution, Civil Rights and Human Rights. Hearings held. With printed Hearing: S.Hrg. 113-870.",Administrative law and regulatory procedures,Sen.,D,CT,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,1,0,1,0,1,Senate - Judiciary,"Committee on the Judiciary Senate Subcommittee on Constitution, Civil Rights and Human Rights. Hearings held. With printed Hearing: S.Hrg. 113-870.",Administrative law and regulatory procedures,Sen.,D,NY,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,28,9,19,0,17,Senate - Finance,Read twice and referred to the Committee on Finance.,Health,Sen.,D,MO,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,2,2,0,0,2,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",Civil actions and liability,Sen.,D,OR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,5,4,1,0,5,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,Business investment and capital,Sen.,D,CO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,7,3,4,0,7,Senate - Finance,Read twice and referred to the Committee on Finance.,Employment taxes,Sen.,D,DE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,3,3,0,0,3,Senate - Finance,Sponsor introductory remarks on measure. (CR S466),"Drug, alcohol, tobacco use",Sen.,D,IL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,22,21,0,1,17,"Senate - Health, Education, Labor, and Pensions",Committee on the Judiciary Senate Subcommittee on Crime and Terrorism. Hearings held. With printed Hearing: S.Hrg. 113-894.,Child health,Sen.,D,MN,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ,113,0,0,0,0,0,Senate - Small Business and Entrepreneurship,Read twice and referred to the Committee on Small Business and Entrepreneurship.,Commerce,Sen.,D,NM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S. ,113,1,1,0,0,1,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works. (text of measure as introduced: CR S442),California,Sen.,D,CA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S. ,113,0,0,0,0,0,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources. (text of measure as introduced: CR S442-443),Alaska,Sen.,D,AK,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
