"Downloaded on",03/18/2023,"10:12:28 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%22118%22%2C%22type%22%3A%5B%22bills%22%2C%22joint-resolutions%22%5D%2C%22bill-status%22%3A%5B%22introduced%22%2C%22committee%22%2C%22floor%22%5D%7D&pageSize=100&page=25

"Legislation Number",URL,Congress,Title,"Amends Bill",Sponsor,"Date Offered","Date of Introduction","Number of Cosponsors","Date Submitted","Date Proposed",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Latest Summary"
"H.R. 1319",https://www.congress.gov/bill/118th-congress/house-bill/1319,"118th Congress (2023-2024)","Biking on Long-Distance Trails Act",,"Neguse, Joe [Rep.-D-CO-2]",,03/01/2023,2,,,"House - Natural Resources, Agriculture","Referred to the Committee on Natural Resources, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",03/01/2023,"Curtis, John R. [Rep.-R-UT-3]","Lee, Susie [Rep.-D-NV-3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1318",https://www.congress.gov/bill/118th-congress/house-bill/1318,"118th Congress (2023-2024)","To authorize the location of a monument on the National Mall to commemorate and honor the women's suffrage movement and the passage of the 19th Amendment to the Constitution, and for other purposes.",,"Neguse, Joe [Rep.-D-CO-2]",,03/01/2023,26,,,"House - Natural Resources","Referred to the House Committee on Natural Resources.",03/01/2023,"Porter, Katie [Rep.-D-CA-47]","Velazquez, Nydia M. [Rep.-D-NY-7]","Fitzpatrick, Brian K. [Rep.-R-PA-1]","Lesko, Debbie [Rep.-R-AZ-8]","Wild, Susan [Rep.-D-PA-7]","Lofgren, Zoe [Rep.-D-CA-18]","McGovern, James P. [Rep.-D-MA-2]","González-Colón, Jenniffer [Resident Commissioner-R-PR-At Large]","Watson Coleman, Bonnie [Rep.-D-NJ-12]","Carter, Troy [Rep.-D-LA-2]","Lee, Susie [Rep.-D-NV-3]","Carbajal, Salud O. [Rep.-D-CA-24]","Pettersen, Brittany [Rep.-D-CO-7]","Escobar, Veronica [Rep.-D-TX-16]","Bice, Stephanie I. [Rep.-R-OK-5]","Green, Al [Rep.-D-TX-9]","Lee, Barbara [Rep.-D-CA-12]","DeGette, Diana [Rep.-D-CO-1]","Gottheimer, Josh [Rep.-D-NJ-5]","Lawler, Michael [Rep.-R-NY-17]","Landsman, Greg [Rep.-D-OH-1]","Krishnamoorthi, Raja [Rep.-D-IL-8]","Chavez-DeRemer, Lori [Rep.-R-OR-5]","Vasquez, Gabe [Rep.-D-NM-2]","Sherrill, Mikie [Rep.-D-NJ-11]","Budzinski, Nikki [Rep.-D-IL-13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1317",https://www.congress.gov/bill/118th-congress/house-bill/1317,"118th Congress (2023-2024)","To require the Secretary of Agriculture and the Secretary of the Interior to prioritize the completion of the Continental Divide National Scenic Trail, and for other purposes.",,"Neguse, Joe [Rep.-D-CO-2]",,03/01/2023,3,,,"House - Natural Resources","Referred to the House Committee on Natural Resources.",03/01/2023,"Leger Fernandez, Teresa [Rep.-D-NM-3]","Stansbury, Melanie Ann [Rep.-D-NM-1]","Vasquez, Gabe [Rep.-D-NM-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1316",https://www.congress.gov/bill/118th-congress/house-bill/1316,"118th Congress (2023-2024)","To amend titles XIX and XXI of the Social Security Act to allow States to provide for extended periods of continuous coverage under the Medicaid and CHIP programs for children, to provide a period of continuous eligibility under the Medicaid program for certain adults, and for other purposes.",,"Neguse, Joe [Rep.-D-CO-2]",,03/01/2023,0,,,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",03/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1315",https://www.congress.gov/bill/118th-congress/house-bill/1315,"118th Congress (2023-2024)","To amend the Public Health Service Act to establish a Prostate Cancer Coordinating Committee, and for other purposes.",,"Murphy, Gregory [Rep.-R-NC-3]",,03/01/2023,0,,,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",03/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1314",https://www.congress.gov/bill/118th-congress/house-bill/1314,"118th Congress (2023-2024)","To authorize the Secretary of the Interior to enter into partnerships to develop housing, and for other purposes.",,"Moore, Blake D. [Rep.-R-UT-1]",,03/01/2023,3,,,"House - Natural Resources","Referred to the House Committee on Natural Resources.",03/01/2023,"Porter, Katie [Rep.-D-CA-47]","Newhouse, Dan [Rep.-R-WA-4]","Panetta, Jimmy [Rep.-D-CA-19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1313",https://www.congress.gov/bill/118th-congress/house-bill/1313,"118th Congress (2023-2024)","Transparency in CFPB Cost-Benefit Analysis Act",,"Mooney, Alexander X. [Rep.-R-WV-2]",,03/01/2023,21,,,"House - Financial Services","Referred to the House Committee on Financial Services.",03/01/2023,"Posey, Bill [Rep.-R-FL-8]","Flood, Mike [Rep.-R-NE-1]","Davidson, Warren [Rep.-R-OH-8]","Emmer, Tom [Rep.-R-MN-6]","Sessions, Pete [Rep.-R-TX-17]","Rose, John W. [Rep.-R-TN-6]","Ogles, Andrew [Rep.-R-TN-5]","Nunn, Zachary [Rep.-R-IA-3]","Kim, Young [Rep.-R-CA-40]","Steil, Bryan [Rep.-R-WI-1]","Williams, Roger [Rep.-R-TX-25]","Fitzgerald, Scott [Rep.-R-WI-5]","Huizenga, Bill [Rep.-R-MI-4]","Loudermilk, Barry [Rep.-R-GA-11]","Luetkemeyer, Blaine [Rep.-R-MO-3]","Kustoff, David [Rep.-R-TN-8]","Houchin, Erin [Rep.-R-IN-9]","Barr, Andy [Rep.-R-KY-6]","Norman, Ralph [Rep.-R-SC-5]","Steube, W. Gregory [Rep.-R-FL-17]","Hill, J. French [Rep.-R-AR-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1312",https://www.congress.gov/bill/118th-congress/house-bill/1312,"118th Congress (2023-2024)","To amend the Wild and Scenic Rivers Act to direct the Secretary of the Interior to conduct a study of the Deerfield River for potential addition to the national wild and scenic rivers system, and for other purposes.",,"McGovern, James P. [Rep.-D-MA-2]",,03/01/2023,2,,,"House - Natural Resources","Referred to the House Committee on Natural Resources.",03/01/2023,"Balint, Becca [Rep.-D-VT-At Large]","Neal, Richard E. [Rep.-D-MA-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1311",https://www.congress.gov/bill/118th-congress/house-bill/1311,"118th Congress (2023-2024)","College Cost Transparency and Student Protection Act",,"McClain, Lisa C. [Rep.-R-MI-9]",,03/01/2023,1,,,"House - Education and the Workforce","Referred to the House Committee on Education and the Workforce.",03/01/2023,"Foxx, Virginia [Rep.-R-NC-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1310",https://www.congress.gov/bill/118th-congress/house-bill/1310,"118th Congress (2023-2024)","SHARE Act",,"Mann, Tracey [Rep.-R-KS-1]",,03/01/2023,17,,,"House - Education and the Workforce, Judiciary","Referred to the Committee on Education and the Workforce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",03/01/2023,"Budzinski, Nikki [Rep.-D-IL-13]","Boebert, Lauren [Rep.-R-CO-3]","McCaul, Michael T. [Rep.-R-TX-10]","Van Drew, Jefferson [Rep.-R-NJ-2]","Jackson, Ronny [Rep.-R-TX-13]","Tokuda, Jill N. [Rep.-D-HI-2]","Bacon, Don [Rep.-R-NE-2]","LaMalfa, Doug [Rep.-R-CA-1]","Davis, Donald G. [Rep.-D-NC-1]","Fitzpatrick, Brian K. [Rep.-R-PA-1]","Bice, Stephanie I. [Rep.-R-OK-5]","Moylan, James C. [Del.-R-GU-At Large]","Neguse, Joe [Rep.-D-CO-2]","Kiggans, Jennifer A [Rep.-R-VA-2]","Cline, Ben [Rep.-R-VA-6]","Vasquez, Gabe [Rep.-D-NM-2]","Crenshaw, Dan [Rep.-R-TX-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1309",https://www.congress.gov/bill/118th-congress/house-bill/1309,"118th Congress (2023-2024)","To require the use of replacement cost value in determining the premium rates for flood insurance coverage under the National Flood Insurance Act, and for other purposes.",,"Luetkemeyer, Blaine [Rep.-R-MO-3]",,03/01/2023,0,,,"House - Financial Services","Referred to the House Committee on Financial Services.",03/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1308",https://www.congress.gov/bill/118th-congress/house-bill/1308,"118th Congress (2023-2024)","Community Mapping Act",,"Luetkemeyer, Blaine [Rep.-R-MO-3]",,03/01/2023,0,,,"House - Financial Services","Referred to the House Committee on Financial Services.",03/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1307",https://www.congress.gov/bill/118th-congress/house-bill/1307,"118th Congress (2023-2024)","To repeal the mandatory flood insurance coverage requirement for commercial properties located in flood hazard areas, and for other purposes.",,"Luetkemeyer, Blaine [Rep.-R-MO-3]",,03/01/2023,0,,,"House - Financial Services","Referred to the House Committee on Financial Services.",03/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1306",https://www.congress.gov/bill/118th-congress/house-bill/1306,"118th Congress (2023-2024)","Taxpayer Exposure Mitigation Act",,"Luetkemeyer, Blaine [Rep.-R-MO-3]",,03/01/2023,0,,,"House - Financial Services","Referred to the House Committee on Financial Services.",03/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1305",https://www.congress.gov/bill/118th-congress/house-bill/1305,"118th Congress (2023-2024)","SUPER BUGS Act of 2023",,"Levin, Mike [Rep.-D-CA-49]",,03/01/2023,3,,,"House - Foreign Affairs","Referred to the House Committee on Foreign Affairs.",03/01/2023,"Amodei, Mark E. [Rep.-R-NV-2]","McGovern, James P. [Rep.-D-MA-2]","Ferguson, A. Drew, IV [Rep.-R-GA-3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1304",https://www.congress.gov/bill/118th-congress/house-bill/1304,"118th Congress (2023-2024)","To approve the settlement of water rights claims of the Pueblos of Acoma and Laguna in the Rio San José Stream System and the Pueblos of Jemez and Zia in the Rio Jemez Stream System in the State of New Mexico, and for other purposes.",,"Leger Fernandez, Teresa [Rep.-D-NM-3]",,03/01/2023,2,,,"House - Natural Resources","Referred to the House Committee on Natural Resources.",03/01/2023,"Vasquez, Gabe [Rep.-D-NM-2]","Stansbury, Melanie Ann [Rep.-D-NM-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1303",https://www.congress.gov/bill/118th-congress/house-bill/1303,"118th Congress (2023-2024)","To amend the John D. Dingell, Jr. Conservation, Management, and Recreation Act to establish the Cerro de la Olla Wilderness in the Río Grande del Norte National Monument and to modify the boundary of the Río Grande del Norte National Monument.",,"Leger Fernandez, Teresa [Rep.-D-NM-3]",,03/01/2023,1,,,"House - Natural Resources","Referred to the House Committee on Natural Resources.",03/01/2023,"Stansbury, Melanie Ann [Rep.-D-NM-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H.R. 1302",https://www.congress.gov/bill/118th-congress/house-bill/1302,"118th Congress (2023-2024)","Gun Records Restoration and Preservation Act",,"Lee, Barbara [Rep.-D-CA-12]",,03/01/2023,24,,,"House - Judiciary","Referred to the House Committee on the Judiciary.",03/01/2023,"Carson, Andre [Rep.-D-IN-7]","Grijalva, Raúl M. [Rep.-D-AZ-7]","Kelly, Robin L. [Rep.-D-IL-2]","Tlaib, Rashida [Rep.-D-MI-12]","Lynch, Stephen F. [Rep.-D-MA-8]","Scanlon, Mary Gay [Rep.-D-PA-5]","Keating, William R. [Rep.-D-MA-9]","Barragan, Nanette Diaz [Rep.-D-CA-44]","Blumenauer, Earl [Rep.-D-OR-3]","Schakowsky, Janice D. [Rep.-D-IL-9]","Frost, Maxwell [Rep.-D-FL-10]","DeSaulnier, Mark [Rep.-D-CA-10]","Smith, Adam [Rep.-D-WA-9]","Higgins, Brian [Rep.-D-NY-26]","Kamlager-Dove, Sydney [Rep.-D-CA-37]","Norton, Eleanor Holmes [Del.-D-DC-At Large]","Bonamici, Suzanne [Rep.-D-OR-1]","Meeks, Gregory W. [Rep.-D-NY-5]","Auchincloss, Jake [Rep.-D-MA-4]","Lofgren, Zoe [Rep.-D-CA-18]","Casten, Sean [Rep.-D-IL-6]","Morelle, Joseph D. [Rep.-D-NY-25]","Crow, Jason [Rep.-D-CO-6]","Titus, Dina [Rep.-D-NV-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
