Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 214,https://www.congress.gov/bill/116th-congress/senate-bill/214,116th Congress (2019-2020),A bill to provide for the compensation of Federal and other government employees affected by the current lapse in appropriations.,,"Gardner, Cory [Sen.-R-CO]",,1/24/19,0,,,Senate - Appropriations,Read twice and referred to the Committee on Appropriations.,1/24/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State and local government operations,Appropriations,District of Columbia,Executive agency funding and structure,"Government employee pay, benefits, personnel management",Government Operations and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 215,https://www.congress.gov/bill/116th-congress/senate-bill/215,116th Congress (2019-2020),Death Tax Repeal Act of 2019,,"Thune, John [Sen.-R-SD]",,1/24/19,35,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/24/19,"Loeffler, Kelly [Sen.-R-GA]","Grassley, Chuck [Sen.-R-IA]","McConnell, Mitch [Sen.-R-KY]","Inhofe, James M. [Sen.-R-OK]","Roberts, Pat [Sen.-R-KS]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","Alexander, Lamar [Sen.-R-TN]","Isakson, Johnny [Sen.-R-GA]","Barrasso, John [Sen.-R-WY]","Risch, James E. [Sen.-R-ID]","Blunt, Roy [Sen.-R-MO]","Boozman, John [Sen.-R-AR]","Hoeven, John [Sen.-R-ND]","Moran, Jerry [Sen.-R-KS]","Rubio, Marco [Sen.-R-FL]","Cruz, Ted [Sen.-R-TX]","Fischer, Deb [Sen.-R-NE]","Cotton, Tom [Sen.-R-AR]","Daines, Steve [Sen.-R-MT]","Ernst, Joni [Sen.-R-IA]","Gardner, Cory [Sen.-R-CO]","Perdue, David [Sen.-R-GA]","Rounds, Mike [Sen.-R-SD]","Kennedy, John [Sen.-R-LA]","Young, Todd [Sen.-R-IN]","Hyde-Smith, Cindy [Sen.-R-MS]","Blackburn, Marsha [Sen.-R-TN]","Cramer, Kevin [Sen.-R-ND]","Wicker, Roger F. [Sen.-R-MS]","Braun, Mike [Sen.-R-IN]","Shelby, Richard C. [Sen.-R-AL]","McSally, Martha [Sen.-R-AZ]","Hawley, Josh [Sen.-R-MO]","Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflation and prices,Taxation,Transfer and inheritance taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 217,https://www.congress.gov/bill/116th-congress/senate-bill/217,116th Congress (2019-2020),Open Book on Equal Access to Justice Act,,"Barrasso, John [Sen.-R-WY]",,1/24/19,5,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,1/24/19,"Grassley, Chuck [Sen.-R-IA]","Enzi, Michael B. [Sen.-R-WY]","Cornyn, John [Sen.-R-TX]","Risch, James E. [Sen.-R-ID]","Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Civil actions and liability,Congressional oversight,Government information and archives,Government liability,Law,Legal fees and court costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 218,https://www.congress.gov/bill/116th-congress/senate-bill/218,116th Congress (2019-2020),ONSHORE Act,,"Barrasso, John [Sen.-R-WY]",,1/24/19,4,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/24/19,"Lee, Mike [Sen.-R-UT]","Enzi, Michael B. [Sen.-R-WY]","Cramer, Kevin [Sen.-R-ND]","Hoeven, John [Sen.-R-ND]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative remedies,Alaska,Department of the Interior,Energy revenues and royalties,Government trust funds,Indian lands and resources rights,Intergovernmental relations,Land use and conservation,Licensing and registrations,Oil and gas,State and local finance,State and local government operations,Strategic materials and reserves,User charges and fees,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 220,https://www.congress.gov/bill/116th-congress/senate-bill/220,116th Congress (2019-2020),529 Expansion and Modernization Act of 2019,,"Gardner, Cory [Sen.-R-CO]",,1/24/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/24/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,"Bank accounts, deposits, capital",Employee benefits and pensions,Employment and training programs,Income tax deferral,Income tax exclusion,Inflation and prices,Preschool education,Student aid and college costs,Vocational and technical education,Wages and earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 221,https://www.congress.gov/bill/116th-congress/senate-bill/221,116th Congress (2019-2020),Department of Veterans Affairs Provider Accountability Act,,"Gardner, Cory [Sen.-R-CO]",,1/24/19,5,,,House - Veterans' Affairs | Senate - Veterans' Affairs,Referred to the Subcommittee on Health.,1/14/20,"Daines, Steve [Sen.-R-MT]","Collins, Susan M. [Sen.-R-ME]","Manchin, Joe, III [Sen.-D-WV]","Moran, Jerry [Sen.-R-KS]","Cassidy, Bill [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Department of Veterans Affairs,Employee performance,"Government employee pay, benefits, personnel management",Government information and archives,Health care quality,Health information and medical records,Health personnel,Licensing and registrations,Medical ethics,Personnel records,Veterans' medical care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 224,https://www.congress.gov/bill/116th-congress/senate-bill/224,116th Congress (2019-2020),"A bill to provide for the conveyance of certain property to the Tanana Tribal Council located in Tanana, Alaska, and to the Bristol Bay Area Health Corporation located in Dillingham, Alaska, and for other purposes.",,"Murkowski, Lisa [Sen.-R-AK]",,1/24/19,1,,,"House - Natural Resources, Energy and Commerce | Senate - Indian Affairs",Referred to the Subcommittee for Indigenous Peoples of the United States.,7/3/19,"Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaska,Alaska Natives and Hawaiians,Indian lands and resources rights,Indian social and development programs,Land transfers,Minority health,Public Lands and Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 225,https://www.congress.gov/bill/116th-congress/senate-bill/225,116th Congress (2019-2020),Preserving America’s Battlefields Act,,"Isakson, Johnny [Sen.-R-GA]",,1/24/19,17,,,Senate - Energy and Natural Resources,Committee on Energy and Natural Resources. Ordered to be reported with an amendment in the nature of a substitute favorably.,12/12/19,"Casey, Robert P., Jr. [Sen.-D-PA]","Blunt, Roy [Sen.-R-MO]","Kaine, Tim [Sen.-D-VA]","Van Hollen, Chris [Sen.-D-MD]","Hyde-Smith, Cindy [Sen.-R-MS]","Wicker, Roger F. [Sen.-R-MS]","Warner, Mark R. [Sen.-D-VA]","Boozman, John [Sen.-R-AR]","Duckworth, Tammy [Sen.-D-IL]","Capito, Shelley Moore [Sen.-R-WV]","King, Angus S., Jr. [Sen.-I-ME]","Alexander, Lamar [Sen.-R-TN]","Cardin, Benjamin L. [Sen.-D-MD]","Portman, Rob [Sen.-R-OH]","Collins, Susan M. [Sen.-R-ME]","Cornyn, John [Sen.-R-TX]","Kennedy, John [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Conflicts and wars,Historic sites and heritage areas,Military history,U.S. history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 226,https://www.congress.gov/bill/116th-congress/senate-bill/226,116th Congress (2019-2020),Tribal Labor Sovereignty Act of 2019,,"Moran, Jerry [Sen.-R-KS]",,1/24/19,9,,,Senate - Indian Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 65.,4/9/19,"Daines, Steve [Sen.-R-MT]","Gardner, Cory [Sen.-R-CO]","Risch, James E. [Sen.-R-ID]","Rounds, Mike [Sen.-R-SD]","Lankford, James [Sen.-R-OK]","Cramer, Kevin [Sen.-R-ND]","McSally, Martha [Sen.-R-AZ]","Crapo, Mike [Sen.-R-ID]","Thune, John [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal-Indian relations,Indian lands and resources rights,Labor-management relations,Minority employment,Native Americans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 227,https://www.congress.gov/bill/116th-congress/senate-bill/227,116th Congress (2019-2020),Savanna's Act,,"Murkowski, Lisa [Sen.-R-AK]",,1/25/19,29,,,Senate - Indian Affairs,Became Public Law No: 116-165.,10/10/20,"Van Hollen, Chris [Sen.-D-MD]","Cantwell, Maria [Sen.-D-WA]","Tester, Jon [Sen.-D-MT]","Merkley, Jeff [Sen.-D-OR]","Udall, Tom [Sen.-D-NM]","Coons, Christopher A. [Sen.-D-DE]","Hoeven, John [Sen.-R-ND]","Heinrich, Martin [Sen.-D-NM]","Sullivan, Dan [Sen.-R-AK]","Tillis, Thomas [Sen.-R-NC]","Cramer, Kevin [Sen.-R-ND]","Capito, Shelley Moore [Sen.-R-WV]","Daines, Steve [Sen.-R-MT]","Wyden, Ron [Sen.-D-OR]","Gillibrand, Kirsten E. [Sen.-D-NY]","Murray, Patty [Sen.-D-WA]","Klobuchar, Amy [Sen.-D-MN]","Rosen, Jacky [Sen.-D-NV]","Harris, Kamala D. [Sen.-D-CA]","Schatz, Brian [Sen.-D-HI]","McSally, Martha [Sen.-R-AZ]","Sinema, Kyrsten [Sen.-D-AZ]","Baldwin, Tammy [Sen.-D-WI]","Crapo, Mike [Sen.-R-ID]","Risch, James E. [Sen.-R-ID]","Warren, Elizabeth [Sen.-D-MA]","Sanders, Bernard [Sen.-I-VT]","Cortez Masto, Catherine [Sen.-D-NV]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assault and harassment offenses,Congressional oversight,Crime victims,Crimes against women,"Criminal investigation, prosecution, interrogation",Criminal justice information and records,Federal-Indian relations,Government information and archives,Health information and medical records,Indian social and development programs,Intergovernmental relations,Law enforcement administration and funding,Native Americans,Right of privacy,Sex offenses,State and local government operations,Violent crime,Missing persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 228,https://www.congress.gov/bill/116th-congress/senate-bill/228,116th Congress (2019-2020),Non-Emergency Ambulance Transportation Sustainability and Accountability (NEATSA) Act of 2019,,"Cassidy, Bill [Sen.-R-LA]",,1/25/19,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/25/19,"Jones, Doug [Sen.-D-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive and metabolic diseases,Government information and archives,Congressional oversight,Government studies and investigations,Health information and medical records,Medicare,Transportation costs,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 234,https://www.congress.gov/bill/116th-congress/senate-bill/234,116th Congress (2019-2020),Transparency in Student Lending Act,,"Enzi, Michael B. [Sen.-R-WY]",,1/28/19,2,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",1/28/19,"Barrasso, John [Sen.-R-WY]","Ernst, Joni [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,Higher education,"Interest, dividends, interest rates",Student aid and college costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 238,https://www.congress.gov/bill/116th-congress/senate-bill/238,116th Congress (2019-2020),Special Envoy to Monitor and Combat Anti-Semitism Act,,"Rubio, Marco [Sen.-R-FL]",,1/28/19,12,,,Senate - Foreign Relations,Placed on Senate Legislative Calendar under General Orders. Calendar No. 461.,6/3/20,"Klobuchar, Amy [Sen.-D-MN]","Graham, Lindsey [Sen.-R-SC]","Menendez, Robert [Sen.-D-NJ]","Gillibrand, Kirsten E. [Sen.-D-NY]","Warren, Elizabeth [Sen.-D-MA]","Gardner, Cory [Sen.-R-CO]","Rosen, Jacky [Sen.-D-NV]","Cruz, Ted [Sen.-R-TX]","Rounds, Mike [Sen.-R-SD]","Murray, Patty [Sen.-D-WA]","Duckworth, Tammy [Sen.-D-IL]","Markey, Edward J. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Department of State,"Diplomacy, foreign officials, Americans abroad",Federal officials,Human rights,International Affairs,Racial and ethnic relations,Religion,Executive agency funding and structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 240,https://www.congress.gov/bill/116th-congress/senate-bill/240,116th Congress (2019-2020),Taxpayer Identity Protection Act of 2019,,"Collins, Susan M. [Sen.-R-ME]",,1/28/19,1,,,Senate - Finance,Read twice and referred to the Committee on Finance. (Sponsor introductory remarks on measure: CR S699-700),1/28/19,"Jones, Doug [Sen.-D-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computer security and identity theft,"Tax administration and collection, taxpayers",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 242,https://www.congress.gov/bill/116th-congress/senate-bill/242,116th Congress (2019-2020),Lowell Observatory Conveyance Act,,"McSally, Martha [Sen.-R-AZ]",,1/28/19,1,,,Senate - Energy and Natural Resources,"Committee on Energy and Natural Resources Subcommittee on Public Lands, Forests, and Mining. Hearings held. With printed Hearing: S.Hrg. 116-323.",5/14/19,"Sinema, Kyrsten [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona,Astronomy,"Forests, forestry, trees",Land transfers,Public Lands and Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 243,https://www.congress.gov/bill/116th-congress/senate-bill/243,116th Congress (2019-2020),Black Mountain Range and Bullhead City Land Exchange Act of 2019,,"McSally, Martha [Sen.-R-AZ]",,1/28/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/28/19,"Sinema, Kyrsten [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona,Land transfers,Public Lands and Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 244,https://www.congress.gov/bill/116th-congress/senate-bill/244,116th Congress (2019-2020),Embry-Riddle Tri-City Land Exchange Completion Act of 2019,,"McSally, Martha [Sen.-R-AZ]",,1/28/19,0,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/28/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Economic development,Educational facilities and institutions,Florida,Higher education,Land transfers,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
