Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 709,https://www.congress.gov/bill/114th-congress/senate-bill/709,114th Congress (2015-2016),Restoring Access to Medication Act of 2015,,"Roberts, Pat [Sen.-R-KS]",,3/11/15,14,,,Senate - Finance,Read twice and referred to the Committee on Finance.,3/11/15,"Hatch, Orrin G. [Sen.-R-UT]","Collins, Susan M. [Sen.-R-ME]","Burr, Richard [Sen.-R-NC]","Isakson, Johnny [Sen.-R-GA]","Rubio, Marco [Sen.-R-FL]","Heller, Dean [Sen.-R-NV]","Flake, Jeff [Sen.-R-AZ]","Heitkamp, Heidi [Sen.-D-ND]","King, Angus S., Jr. [Sen.-I-ME]","Capito, Shelley Moore [Sen.-R-WV]","Ayotte, Kelly [Sen.-R-NH]","McCain, John [Sen.-R-AZ]","Kirk, Mark Steven [Sen.-R-IL]","Gardner, Cory [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health care costs and insurance,Income tax deductions,Prescription drugs,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 710,https://www.congress.gov/bill/114th-congress/senate-bill/710,114th Congress (2015-2016),Native American Housing Assistance and Self-Determination Reauthorization Act of 2015,,"Barrasso, John [Sen.-R-WY]",,3/11/15,0,,,"Senate - Indian Affairs, Banking, Housing, and Urban Affairs",By Senator Barrasso from Committee on Indian Affairs filed written report. Report No. 114-117.,8/5/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaska Natives and Hawaiians,"Veterans' loans, housing, homeless programs",Department of Housing and Urban Development,Drug trafficking and controlled substances,"Environmental assessment, monitoring, research",Executive agency funding and structure,Government lending and loan guarantees,Hazardous wastes and toxic substances,Housing and community development funding,Housing finance and home ownership,Housing supply and affordability,Indian lands and resources rights,Indian social and development programs,Low- and moderate-income housing,Native Americans,Residential rehabilitation and home repair,Congressional oversight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 711,https://www.congress.gov/bill/114th-congress/senate-bill/711,114th Congress (2015-2016),Mental Health First Act of 2015,,"Ayotte, Kelly [Sen.-R-NH]",,3/11/15,18,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",3/11/15,"Grassley, Chuck [Sen.-R-IA]","Reed, Jack [Sen.-D-RI]","Shaheen, Jeanne [Sen.-D-NH]","Bennet, Michael F. [Sen.-D-CO]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Portman, Rob [Sen.-R-OH]","Rubio, Marco [Sen.-R-FL]","Heller, Dean [Sen.-R-NV]","Heitkamp, Heidi [Sen.-D-ND]","Murphy, Christopher [Sen.-D-CT]","Stabenow, Debbie [Sen.-D-MI]","Tester, Jon [Sen.-D-MT]","Collins, Susan M. [Sen.-R-ME]","Peters, Gary C. [Sen.-D-MI]","Schumer, Charles E. [Sen.-D-NY]","Gillibrand, Kirsten E. [Sen.-D-NY]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health personnel,Health programs administration and funding,Medical education,Mental health,Nursing,Rural conditions and development,School administration,"Teaching, teachers, curricula",Education programs funding,Emergency medical services and trauma care,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 716,https://www.congress.gov/bill/114th-congress/senate-bill/716,114th Congress (2015-2016),Seniors' Tax Simplification Act of 2015,,"Rubio, Marco [Sen.-R-FL]",,3/11/15,5,,,Senate - Finance,Read twice and referred to the Committee on Finance.,3/11/15,"Carper, Thomas R. [Sen.-D-DE]","Nelson, Bill [Sen.-D-FL]","Coons, Christopher A. [Sen.-D-DE]","Heller, Dean [Sen.-R-NV]","Lee, Mike [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tax administration and collection, taxpayers",Aging,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 720,https://www.congress.gov/bill/114th-congress/senate-bill/720,114th Congress (2015-2016),Energy Savings and Industrial Competitiveness Act of 2015,,"Portman, Rob [Sen.-R-OH]",,3/11/15,14,,,Senate - Energy and Natural Resources,Placed on Senate Legislative Calendar under General Orders. Calendar No. 210.,9/9/15,"Murkowski, Lisa [Sen.-R-AK]","Wicker, Roger F. [Sen.-R-MS]","Shaheen, Jeanne [Sen.-D-NH]","Warner, Mark R. [Sen.-D-VA]","Bennet, Michael F. [Sen.-D-CO]","Franken, Al [Sen.-D-MN]","Coons, Christopher A. [Sen.-D-DE]","Manchin, Joe, III [Sen.-D-WV]","Ayotte, Kelly [Sen.-R-NH]","Hoeven, John [Sen.-R-ND]","Heller, Dean [Sen.-R-NV]","Heitkamp, Heidi [Sen.-D-ND]","Collins, Susan M. [Sen.-R-ME]","Cantwell, Maria [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lighting and heating,Water use and supply,Materials,Performance measurement,Product safety and quality,Public contracts and procurement,Administrative law and regulatory procedures,Advisory bodies,Alternative and renewable resources,Building construction,Computers and information technology,Congressional oversight,Consumer affairs,Department of Energy,Department of Housing and Urban Development,Educational facilities and institutions,Elementary and secondary education,Employment and training programs,Energy,Energy efficiency and conservation,Energy prices,Environmental Protection Agency (EPA),Environmental technology,General Services Administration,"Government buildings, facilities, and property",Government information and archives,Government studies and investigations,Higher education,Housing finance and home ownership,Industrial facilities,Licensing and registrations,Public utilities and utility rates,Real estate business,Research and development,Residential rehabilitation and home repair,Science and engineering education,Manufacturing,"Lighting, heating, cooling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 724,https://www.congress.gov/bill/114th-congress/senate-bill/724,114th Congress (2015-2016),Protecting Kids from Candy-Flavored Drugs Act of 2015,,"Grassley, Chuck [Sen.-R-IA]",,3/12/15,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,3/12/15,"Feinstein, Dianne [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative law and regulatory procedures,Child health,Crime and Law Enforcement,Criminal procedure and sentencing,U.S. Sentencing Commission,"Drug, alcohol, tobacco use","Food supply, safety, and labeling",Marketing and advertising,Drug trafficking and controlled substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 726,https://www.congress.gov/bill/114th-congress/senate-bill/726,114th Congress (2015-2016),Community Financial Protection Act of 2015,,"Coats, Daniel [Sen.-R-IN]",,3/12/15,0,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",3/12/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bank accounts, deposits, capital",Government information and archives,Financial services and investments,Finance and Financial Sector,Consumer credit,Banking and financial institutions regulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 734,https://www.congress.gov/bill/114th-congress/senate-bill/734,114th Congress (2015-2016),USF Equitable Distribution Act of 2015,,"Ayotte, Kelly [Sen.-R-NH]",,3/12/15,0,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",3/12/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rural conditions and development,Internet and video services,Telecommunication rates and fees,Telephone and wireless communication,"Science, Technology, Communications","Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 736,https://www.congress.gov/bill/114th-congress/senate-bill/736,114th Congress (2015-2016),"State, Tribal, and Local Species Transparency and Recovery Act",,"Enzi, Michael B. [Sen.-R-WY]",,3/12/15,5,,,Senate - Environment and Public Works,Committee on Environment and Public Works. Hearings held.,5/6/15,"Roberts, Pat [Sen.-R-KS]","Thune, John [Sen.-R-SD]","Barrasso, John [Sen.-R-WY]","Cornyn, John [Sen.-R-TX]","Heller, Dean [Sen.-R-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State and local government operations,Wildlife conservation and habitat protection,Endangered and threatened species,Environmental Protection,Government information and archives,Intergovernmental relations,Land transfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 738,https://www.congress.gov/bill/114th-congress/senate-bill/738,114th Congress (2015-2016),Genetically Engineered Salmon Risk Reduction Act,,"Murkowski, Lisa [Sen.-R-AK]",,3/12/15,4,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",3/12/15,"Cantwell, Maria [Sen.-D-WA]","Merkley, Jeff [Sen.-D-OR]","Heinrich, Martin [Sen.-D-NM]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington State,Seafood,Oregon,"Marine and coastal resources, fisheries",Genetics,"Food supply, safety, and labeling",Fishes,"Environmental assessment, monitoring, research",California,Agriculture and Food,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 739,https://www.congress.gov/bill/114th-congress/senate-bill/739,114th Congress (2015-2016),Veterans Access to Extended Care Act of 2015,,"Hoeven, John [Sen.-R-ND]",,3/16/15,2,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,3/16/15,"Manchin, Joe, III [Sen.-D-WV]","Thune, John [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult day care,Armed Forces and National Security,Health care quality,Health personnel,Wages and earnings,Licensing and registrations,"Long-term, rehabilitative, and terminal care",Public contracts and procurement,Veterans' medical care,Labor standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 740,https://www.congress.gov/bill/114th-congress/senate-bill/740,114th Congress (2015-2016),Geospatial Data Act of 2015,,"Hatch, Orrin G. [Sen.-R-UT]",,3/16/15,9,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",3/16/15,"Warner, Mark R. [Sen.-D-VA]","Wyden, Ron [Sen.-D-OR]","Heller, Dean [Sen.-R-NV]","Boozman, John [Sen.-R-AR]","Merkley, Jeff [Sen.-D-OR]","Gardner, Cory [Sen.-R-CO]","Tester, Jon [Sen.-D-MT]","Klobuchar, Amy [Sen.-D-MN]","Cotton, Tom [Sen.-R-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory bodies,Executive agency funding and structure,Geography and mapping,Scientific communication,International scientific cooperation,"Science, Technology, Communications",Government information and archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 742,https://www.congress.gov/bill/114th-congress/senate-bill/742,114th Congress (2015-2016),Stop Wasteful Federal Bonuses Act of 2015,,"Ayotte, Kelly [Sen.-R-NH]",,3/16/15,3,,,Senate - Homeland Security and Governmental Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 386.,3/14/16,"McCaskill, Claire [Sen.-D-MO]","Fischer, Deb [Sen.-R-NE]","Heller, Dean [Sen.-R-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Government ethics and transparency, public corruption",Administrative remedies,Congressional oversight,Merit Systems Protection Board,Government Operations and Politics,Government studies and investigations,"Government employee pay, benefits, personnel management",Executive agency funding and structure,Employee performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 743,https://www.congress.gov/bill/114th-congress/senate-bill/743,114th Congress (2015-2016),Honor America's Guard-Reserve Retirees Act of 2015,,"Boozman, John [Sen.-R-AR]",,3/16/15,27,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,3/16/15,"Donnelly, Joe [Sen.-D-IN]","Grassley, Chuck [Sen.-R-IA]","Tester, Jon [Sen.-D-MT]","Heller, Dean [Sen.-R-NV]","Klobuchar, Amy [Sen.-D-MN]","Franken, Al [Sen.-D-MN]","Capito, Shelley Moore [Sen.-R-WV]","Cochran, Thad [Sen.-R-MS]","Roberts, Pat [Sen.-R-KS]","Wyden, Ron [Sen.-D-OR]","Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Peters, Gary C. [Sen.-D-MI]","Stabenow, Debbie [Sen.-D-MI]","Mikulski, Barbara A. [Sen.-D-MD]","Schumer, Charles E. [Sen.-D-NY]","Murkowski, Lisa [Sen.-R-AK]","Menendez, Robert [Sen.-D-NJ]","Schatz, Brian [Sen.-D-HI]","Rounds, Mike [Sen.-R-SD]","Scott, Tim [Sen.-R-SC]","Graham, Lindsey [Sen.-R-SC]","Thune, John [Sen.-R-SD]","Casey, Robert P., Jr. [Sen.-D-PA]","Hirono, Mazie K. [Sen.-D-HI]","Baldwin, Tammy [Sen.-D-WI]","Toomey, Patrick [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Veterans' pensions and compensation,National Guard and reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 744,https://www.congress.gov/bill/114th-congress/senate-bill/744,114th Congress (2015-2016),REFUND Act,,"Rubio, Marco [Sen.-R-FL]",,3/16/15,7,,,Senate - Appropriations,Read twice and referred to the Committee on Appropriations.,3/16/15,"Coats, Daniel [Sen.-R-IN]","Inhofe, James M. [Sen.-R-OK]","Barrasso, John [Sen.-R-WY]","Risch, James E. [Sen.-R-ID]","Johnson, Ron [Sen.-R-WI]","Portman, Rob [Sen.-R-OH]","Blunt, Roy [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Economics and Public Finance,Budget deficits and national debt,Appropriations,Intergovernmental relations,State and local finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 745,https://www.congress.gov/bill/114th-congress/senate-bill/745,114th Congress (2015-2016),National Debt and Taxation Transparency Act of 2015,,"Cornyn, John [Sen.-R-TX]",,3/16/15,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,3/16/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budget deficits and national debt,Employment taxes,"Tax administration and collection, taxpayers",Income tax rates,Government information and archives,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
