Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 1501,https://www.congress.gov/bill/116th-congress/senate-bill/1501,116th Congress (2019-2020),Blast Pressure Exposure Study Improvement Act,,"Warren, Elizabeth [Sen.-D-MA]",,5/16/19,1,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,5/16/19,"Ernst, Joni [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Congressional oversight,Firearms and explosives,Government information and archives,Government studies and investigations,Health information and medical records,Medical research,Military education and training,Military medicine,Military personnel and dependents,Veterans' medical care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1502,https://www.congress.gov/bill/116th-congress/senate-bill/1502,116th Congress (2019-2020),ACCESS Rural America Act,,"Baldwin, Tammy [Sen.-D-WI]",,5/16/19,3,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",5/16/19,"Ernst, Joni [Sen.-R-IA]","Cramer, Kevin [Sen.-R-ND]","Sinema, Kyrsten [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,Administrative law and regulatory procedures,Financial services and investments,Government information and archives,Licensing and registrations,Securities,Securities and Exchange Commission (SEC),Telecommunication rates and fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1503,https://www.congress.gov/bill/116th-congress/senate-bill/1503,116th Congress (2019-2020),Department of Defense Ethics and Anti-corruption Act of 2019,,"Warren, Elizabeth [Sen.-D-MA]",,5/16/19,0,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,5/16/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Accounting and auditing,Administrative remedies,Congressional oversight,Department of Defense,Department of State,Department of the Treasury,"Elections, voting, political campaign regulation",Executive Office of the President,Federal officials,Financial services and investments,Freedom of information,"Government employee pay, benefits, personnel management","Government ethics and transparency, public corruption",Government information and archives,Government studies and investigations,"Intelligence activities, surveillance, classified information",Military command and structure,Military personnel and dependents,"Military procurement, research, weapons development",Personnel records,Public contracts and procurement,Public participation and lobbying,Securities,Business records,Wages and earnings,Corporate finance and management,Nuclear weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1511,https://www.congress.gov/bill/116th-congress/senate-bill/1511,116th Congress (2019-2020),Supporting Our Pilots Act,,"Cortez Masto, Catherine [Sen.-D-NV]",,5/16/19,0,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,5/16/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Aviation and airports,Congressional oversight,Government studies and investigations,Military personnel and dependents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1512,https://www.congress.gov/bill/116th-congress/senate-bill/1512,116th Congress (2019-2020),Rural Servicemembers Support Act of 2019,,"Cortez Masto, Catherine [Sen.-D-NV]",,5/16/19,0,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,5/16/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Congressional oversight,Government studies and investigations,Military facilities and property,Military personnel and dependents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1513,https://www.congress.gov/bill/116th-congress/senate-bill/1513,116th Congress (2019-2020),Better Military Housing Act of 2019,,"Cortez Masto, Catherine [Sen.-D-NV]",,5/16/19,0,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,5/16/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Congressional oversight,Government information and archives,Government studies and investigations,Housing industry and standards,Housing supply and affordability,Landlord and tenant,Military facilities and property,Military personnel and dependents,"Military procurement, research, weapons development",Performance measurement,Public contracts and procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1514,https://www.congress.gov/bill/116th-congress/senate-bill/1514,116th Congress (2019-2020),Help Students Vote Act,,"Booker, Cory A. [Sen.-D-NJ]",,5/16/19,4,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",5/16/19,"Feinstein, Dianne [Sen.-D-CA]","Durbin, Richard J. [Sen.-D-IL]","Brown, Sherrod [Sen.-D-OH]","Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Civil actions and liability,Education,Education programs funding,"Elections, voting, political campaign regulation",Higher education,Voting rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1515,https://www.congress.gov/bill/116th-congress/senate-bill/1515,116th Congress (2019-2020),Rural Reasonable and Comparable Wireless Access Act of 2019,,"Hassan, Margaret Wood [Sen.-D-NH]",,5/16/19,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",5/16/19,"Capito, Shelley Moore [Sen.-R-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",Administrative law and regulatory procedures,Congressional oversight,Federal Communications Commission (FCC),Internet and video services,Rural conditions and development,Telecommunication rates and fees,Telephone and wireless communication,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1516,https://www.congress.gov/bill/116th-congress/senate-bill/1516,116th Congress (2019-2020),Promoting Readiness in Education to Prevent Additional Remediation and Expense Act,,"Jones, Doug [Sen.-D-AL]",,5/16/19,3,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",5/16/19,"Smith, Tina [Sen.-D-MN]","Klobuchar, Amy [Sen.-D-MN]","Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,Academic performance and assessments,Adoption and foster care,American Samoa,Education of the disadvantaged,Education programs funding,Elementary and secondary education,Guam,Higher education,Homelessness and emergency shelter,Indian social and development programs,Military personnel and dependents,Minority education,Northern Mariana Islands,Special education,U.S. territories and protectorates,Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1517,https://www.congress.gov/bill/116th-congress/senate-bill/1517,116th Congress (2019-2020),BUILDS Act,,"Kaine, Tim [Sen.-D-VA]",,5/16/19,2,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (Sponsor introductory remarks on measure: CR S2927-2928)",5/16/19,"Merkley, Jeff [Sen.-D-OR]","Portman, Rob [Sen.-R-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education programs funding,Educational guidance,Employee hiring,Employment and training programs,Food assistance and relief,Higher education,Infrastructure development,Labor and Employment,Poverty and welfare assistance,Public-private cooperation,"Teaching, teachers, curricula",Vocational and technical education,Unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1523,https://www.congress.gov/bill/116th-congress/senate-bill/1523,116th Congress (2019-2020),Stop Arctic Ocean Drilling Act of 2019,,"Merkley, Jeff [Sen.-D-OR]",,5/16/19,12,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,5/16/19,"Wyden, Ron [Sen.-D-OR]","Menendez, Robert [Sen.-D-NJ]","Cardin, Benjamin L. [Sen.-D-MD]","Sanders, Bernard [Sen.-I-VT]","Whitehouse, Sheldon [Sen.-D-RI]","Blumenthal, Richard [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Peters, Gary C. [Sen.-D-MI]","Harris, Kamala D. [Sen.-D-CA]","Van Hollen, Chris [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air quality,Arctic Ocean,Arctic and polar regions,Climate change and greenhouse gases,Energy,"Marine and coastal resources, fisheries",Mining,Oil and gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1524,https://www.congress.gov/bill/116th-congress/senate-bill/1524,116th Congress (2019-2020),Real Education for Healthy Youth Act of 2019,,"Booker, Cory A. [Sen.-D-NJ]",,5/16/19,12,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",5/16/19,"Harris, Kamala D. [Sen.-D-CA]","Menendez, Robert [Sen.-D-NJ]","Brown, Sherrod [Sen.-D-OH]","Gillibrand, Kirsten E. [Sen.-D-NY]","Blumenthal, Richard [Sen.-D-CT]","Baldwin, Tammy [Sen.-D-WI]","Hirono, Mazie K. [Sen.-D-HI]","Murphy, Christopher [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Duckworth, Tammy [Sen.-D-IL]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaska Natives and Hawaiians,Appropriations,Child care and development,Child health,Education of the disadvantaged,Education programs funding,Elementary and secondary education,Family planning and birth control,Family relationships,HIV/AIDS,Health,Health programs administration and funding,Health promotion and preventive care,Higher education,Indian social and development programs,Medical research,Minority education,Sex and reproductive health,"Sex, gender, sexual orientation discrimination",Sexually transmitted diseases,"Teaching, teachers, curricula",Women's health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1525,https://www.congress.gov/bill/116th-congress/senate-bill/1525,116th Congress (2019-2020),Student Protection and Success Act,,"Shaheen, Jeanne [Sen.-D-NH]",,5/16/19,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",5/16/19,"Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,Academic performance and assessments,Congressional oversight,Education of the disadvantaged,Education programs funding,Government information and archives,Government lending and loan guarantees,Higher education,Student aid and college costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1526,https://www.congress.gov/bill/116th-congress/senate-bill/1526,116th Congress (2019-2020),Prevention of Sexual Assault in the Armed Forces Act,,"Sinema, Kyrsten [Sen.-D-AZ]",,5/16/19,1,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,5/16/19,"Ernst, Joni [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Administrative law and regulatory procedures,Administrative remedies,Advisory bodies,Assault and harassment offenses,Congressional oversight,Crime prevention,Crime victims,Department of Defense,Higher education,Lawyers and legal services,Military education and training,Military law,Military personnel and dependents,Sex offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1527,https://www.congress.gov/bill/116th-congress/senate-bill/1527,116th Congress (2019-2020),RTP Funding Transparency Act,,"Klobuchar, Amy [Sen.-D-MN]",,5/16/19,8,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,5/16/19,"King, Angus S., Jr. [Sen.-I-ME]","Burr, Richard [Sen.-R-NC]","Risch, James E. [Sen.-R-ID]","Shaheen, Jeanne [Sen.-D-NH]","Van Hollen, Chris [Sen.-D-MD]","Merkley, Jeff [Sen.-D-OR]","Coons, Christopher A. [Sen.-D-DE]","Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,Congressional oversight,Government studies and investigations,Government trust funds,Motor fuels,Outdoor recreation,"Parks, recreation areas, trails",Roads and highways,Sales and excise taxes,Transportation programs funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1528,https://www.congress.gov/bill/116th-congress/senate-bill/1528,116th Congress (2019-2020),"A bill to amend title 31, United States Code, to provide for the issuance of Green Bonds and to establish the United States Green Bank, and for other purposes.",,"Murphy, Christopher [Sen.-D-CT]",,5/16/19,6,,,Senate - Finance,Read twice and referred to the Committee on Finance.,5/16/19,"Durbin, Richard J. [Sen.-D-IL]","Whitehouse, Sheldon [Sen.-D-RI]","Blumenthal, Richard [Sen.-D-CT]","Markey, Edward J. [Sen.-D-MA]","Van Hollen, Chris [Sen.-D-MD]","Stabenow, Debbie [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,Agricultural conservation and pollution,Agricultural practices and innovations,Alternative and renewable resources,Climate change and greenhouse gases,Corporate finance and management,Credit and credit markets,Electric power generation and transmission,Energy efficiency and conservation,"Energy storage, supplies, demand",Executive agency funding and structure,"Forests, forestry, trees",Government corporations and government-sponsored enterprises,Government lending and loan guarantees,"Hybrid, electric, and advanced technology vehicles",Land use and conservation,Motor fuels,Public transit,Regional and metropolitan planning,Securities,Solid waste and recycling,State and local finance,Water use and supply,Wetlands,Air quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
