Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 579,https://www.congress.gov/bill/117th-congress/senate-bill/579,117th Congress (2021-2022),A bill to make a technical correction to the ALS Disability Insurance Access Act of 2019.,,"Braun, Mike [Sen.-R-IN]",,3/3/21,3,,,,Became Public Law No: 117-3.,3/23/21,"Whitehouse, Sheldon [Sen.-D-RI]","Coons, Christopher A. [Sen.-D-DE]","Cotton, Tom [Sen.-R-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Welfare,Neurological disorders,Disability assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 585,https://www.congress.gov/bill/117th-congress/senate-bill/585,117th Congress (2021-2022),United States Anti-Doping Agency Reauthorization Act of 2021,,"Moran, Jerry [Sen.-R-KS]",,3/3/21,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",3/3/21,"Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports and Recreation,Athletes,Olympic games,"Drug, alcohol, tobacco use",Congressional oversight,International law and treaties,"Drug safety, medical device, and laboratory regulation",Due process and equal protection,"Criminal investigation, prosecution, interrogation",International organizations and cooperation,Medical tests and diagnostic methods,Child health,"Alternative dispute resolution, mediation, arbitration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 586,https://www.congress.gov/bill/117th-congress/senate-bill/586,117th Congress (2021-2022),NOPAIN Act,,"Capito, Shelley Moore [Sen.-R-WV]",,3/4/21,51,,,Senate - Finance,Read twice and referred to the Committee on Finance.,3/4/21,"Cornyn, John [Sen.-R-TX]","Shaheen, Jeanne [Sen.-D-NH]","Manchin, Joe, III [Sen.-D-WV]","Portman, Rob [Sen.-R-OH]","Scott, Tim [Sen.-R-SC]","Kelly, Mark [Sen.-D-AZ]","Baldwin, Tammy [Sen.-D-WI]","Ernst, Joni [Sen.-R-IA]","Barrasso, John [Sen.-R-WY]","Coons, Christopher A. [Sen.-D-DE]","King, Angus S., Jr. [Sen.-I-ME]","Lankford, James [Sen.-R-OK]","Peters, Gary C. [Sen.-D-MI]","Sinema, Kyrsten [Sen.-D-AZ]","Tester, Jon [Sen.-D-MT]","Tillis, Thomas [Sen.-R-NC]","Boozman, John [Sen.-R-AR]","Rosen, Jacky [Sen.-D-NV]","Whitehouse, Sheldon [Sen.-D-RI]","Daines, Steve [Sen.-R-MT]","Collins, Susan M. [Sen.-R-ME]","Reed, Jack [Sen.-D-RI]","Carper, Thomas R. [Sen.-D-DE]","Blackburn, Marsha [Sen.-R-TN]","Merkley, Jeff [Sen.-D-OR]","Cramer, Kevin [Sen.-R-ND]","Young, Todd [Sen.-R-IN]","Warnock, Raphael G. [Sen.-D-GA]","Bennet, Michael F. [Sen.-D-CO]","Tuberville, Tommy [Sen.-R-AL]","Casey, Robert P., Jr. [Sen.-D-PA]","Cassidy, Bill [Sen.-R-LA]","Inhofe, James M. [Sen.-R-OK]","Ossoff, Jon [Sen.-D-GA]","Kaine, Tim [Sen.-D-VA]","Lummis, Cynthia M. [Sen.-R-WY]","Blumenthal, Richard [Sen.-D-CT]","Kennedy, John [Sen.-R-LA]","Thune, John [Sen.-R-SD]","Klobuchar, Amy [Sen.-D-MN]","Fischer, Deb [Sen.-R-NE]","Murphy, Christopher [Sen.-D-CT]","Wicker, Roger F. [Sen.-R-MS]","Van Hollen, Chris [Sen.-D-MD]","Feinstein, Dianne [Sen.-D-CA]","Hawley, Josh [Sen.-R-MO]","Murkowski, Lisa [Sen.-R-AK]","Sullivan, Dan [Sen.-R-AK]","Durbin, Richard J. [Sen.-D-IL]","Smith, Tina [Sen.-D-MN]","Warner, Mark R. [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Surgery and anesthesia,"Drug, alcohol, tobacco use",Home and outpatient care,Hospital care,Drug therapy,Health care coverage and access,Congressional oversight,Drug trafficking and controlled substances,"Health technology, devices, supplies",Prescription drugs,Health care quality,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 587,https://www.congress.gov/bill/117th-congress/senate-bill/587,117th Congress (2021-2022),Securing Inspector General Independence Act of 2021,,"Grassley, Chuck [Sen.-R-IA]",,3/4/21,13,,,Senate - Homeland Security and Governmental Affairs,Committee on Homeland Security and Governmental Affairs. Hearings held.,10/21/21,"Tester, Jon [Sen.-D-MT]","Ernst, Joni [Sen.-R-IA]","Warner, Mark R. [Sen.-D-VA]","Feinstein, Dianne [Sen.-D-CA]","Collins, Susan M. [Sen.-R-ME]","Carper, Thomas R. [Sen.-D-DE]","Wicker, Roger F. [Sen.-R-MS]","Portman, Rob [Sen.-R-OH]","Lankford, James [Sen.-R-OK]","Peters, Gary C. [Sen.-D-MI]","Hassan, Margaret Wood [Sen.-D-NH]","Romney, Mitt [Sen.-R-UT]","Sinema, Kyrsten [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congressional oversight,"Presidents and presidential powers, Vice Presidents","Government employee pay, benefits, personnel management","Government ethics and transparency, public corruption",Government Operations and Politics,Employment discrimination and employee rights,Government studies and investigations,Executive agency funding and structure,Federal officials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 589,https://www.congress.gov/bill/117th-congress/senate-bill/589,117th Congress (2021-2022),Chris Allen Multiemployer Pension Recapitalization and Reform Act of 2021,,"Grassley, Chuck [Sen.-R-IA]",,3/4/21,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,3/4/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labor and Employment,Accounting and auditing,Civil actions and liability,Pension Benefit Guaranty Corporation,"Interest, dividends, interest rates",Government corporations and government-sponsored enterprises,Employee benefits and pensions,Crimes against property,Corporate finance and management,Administrative remedies,Disability and paralysis,Financial services and investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 590,https://www.congress.gov/bill/117th-congress/senate-bill/590,117th Congress (2021-2022),CONFUCIUS Act,,"Kennedy, John [Sen.-R-LA]",,3/4/21,6,,,,Held at the desk.,3/8/21,"Hagerty, Bill [Sen.-R-TN]","Grassley, Chuck [Sen.-R-IA]","Tillis, Thomas [Sen.-R-NC]","Blackburn, Marsha [Sen.-R-TN]","Hawley, Josh [Sen.-R-MO]","Marshall, Roger [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,Asia,Higher education,Education programs funding,Contracts and agency,Research administration and funding,"Teaching, teachers, curricula",China,Area studies and international education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 592,https://www.congress.gov/bill/117th-congress/senate-bill/592,117th Congress (2021-2022),Broadband Reserve Fund Act of 2021,,"Wicker, Roger F. [Sen.-R-MS]",,3/4/21,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",3/4/21,"Blackburn, Marsha [Sen.-R-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",Internet and video services,Rural conditions and development,Radio spectrum allocation,Poverty and welfare assistance,Indian social and development programs,"Health technology, devices, supplies",Government trust funds,Emergency communications systems,Educational technology and distance education,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 593,https://www.congress.gov/bill/117th-congress/senate-bill/593,117th Congress (2021-2022),Alaska Tourism Restoration Act,,"Murkowski, Lisa [Sen.-R-AK]",,3/4/21,1,,,"Senate - Commerce, Science, and Transportation",Held at the desk.,5/17/21,"Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,Travel and tourism,Transportation safety and security,Emergency medical services and trauma care,Marine and inland water transportation,"Criminal investigation, prosecution, interrogation",Alaska,Infectious and parasitic diseases,Washington State,Transportation employees,Transportation and Public Works,Cardiovascular and respiratory health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 594,https://www.congress.gov/bill/117th-congress/senate-bill/594,117th Congress (2021-2022),Anti-Spoofing Penalties Modernization Act of 2021,,"Collins, Susan M. [Sen.-R-ME]",,3/4/21,6,,,"Senate - Commerce, Science, and Transportation",Placed on Senate Legislative Calendar under General Orders. Calendar No. 210.,12/17/21,"Hawley, Josh [Sen.-R-MO]","Hassan, Margaret Wood [Sen.-D-NH]","Peters, Gary C. [Sen.-D-MI]","Sinema, Kyrsten [Sen.-D-AZ]","Warnock, Raphael G. [Sen.-D-GA]","Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",Civil actions and liability,Fraud offenses and financial crimes,Telephone and wireless communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 600,https://www.congress.gov/bill/117th-congress/senate-bill/600,117th Congress (2021-2022),Drone Integration and Zoning Act,,"Lee, Mike [Sen.-R-UT]",,3/4/21,0,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",3/4/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,User charges and fees,Administrative law and regulatory procedures,Aviation and airports,Land use and conservation,Department of Transportation,Federal-Indian relations,Property rights,State and local government operations,Transportation safety and security,Intergovernmental relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 602,https://www.congress.gov/bill/117th-congress/senate-bill/602,117th Congress (2021-2022),Stop Forced Organ Harvesting Act of 2021,,"Cotton, Tom [Sen.-R-AR]",,3/4/21,16,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,3/4/21,"Blunt, Roy [Sen.-R-MO]","Coons, Christopher A. [Sen.-D-DE]","King, Angus S., Jr. [Sen.-I-ME]","Braun, Mike [Sen.-R-IN]","Grassley, Chuck [Sen.-R-IA]","Cornyn, John [Sen.-R-TX]","Merkley, Jeff [Sen.-D-OR]","Moran, Jerry [Sen.-R-KS]","Rubio, Marco [Sen.-R-FL]","Tillis, Thomas [Sen.-R-NC]","Young, Todd [Sen.-R-IN]","Van Hollen, Chris [Sen.-D-MD]","Booker, Cory A. [Sen.-D-NJ]","Hagerty, Bill [Sen.-R-TN]","Lankford, James [Sen.-R-OK]","Blackburn, Marsha [Sen.-R-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Affairs,Government studies and investigations,Immigration status and procedures,Medical education,Health personnel,"Health technology, devices, supplies",Human rights,Human trafficking,Organ and tissue donation and transplantation,Surgery and anesthesia,War and emergency powers,"Diplomacy, foreign officials, Americans abroad",Criminal justice information and records,International organizations and cooperation,Smuggling and trafficking,Fraud offenses and financial crimes,Higher education,Trade restrictions,Foreign aid and international relief,Foreign property,Government information and archives,"Presidents and presidential powers, Vice Presidents",Sanctions,Visas and passports,Congressional oversight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 612,https://www.congress.gov/bill/117th-congress/senate-bill/612,117th Congress (2021-2022),Improving Housing Outcomes for Veterans Act of 2021,,"Portman, Rob [Sen.-R-OH]",,3/5/21,8,,,Senate - Veterans' Affairs,Committee on Veterans' Affairs. Ordered to be reported without amendment favorably.,7/28/21,"Sinema, Kyrsten [Sen.-D-AZ]","Durbin, Richard J. [Sen.-D-IL]","Warren, Elizabeth [Sen.-D-MA]","Van Hollen, Chris [Sen.-D-MD]","Boozman, John [Sen.-R-AR]","Hassan, Margaret Wood [Sen.-D-NH]","Daines, Steve [Sen.-R-MT]","Rosen, Jacky [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Government information and archives,Homelessness and emergency shelter,Intergovernmental relations,Performance measurement,"Veterans' loans, housing, homeless programs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 613,https://www.congress.gov/bill/117th-congress/senate-bill/613,117th Congress (2021-2022),PAWS for Veterans Therapy Act,,"Tillis, Thomas [Sen.-R-NC]",,3/5/21,8,,,Senate - Veterans' Affairs,Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 117-231.,6/23/21,"Warnock, Raphael G. [Sen.-D-GA]","Feinstein, Dianne [Sen.-D-CA]","Cramer, Kevin [Sen.-R-ND]","Sinema, Kyrsten [Sen.-D-AZ]","Marshall, Roger [Sen.-R-KS]","Hassan, Margaret Wood [Sen.-D-NH]","Blumenthal, Richard [Sen.-D-CT]","Casey, Robert P., Jr. [Sen.-D-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Service animals,Veterans' medical care,Animal protection and human-animal relationships,Government studies and investigations,Health programs administration and funding,Mammals,Congressional oversight,Neurological disorders,"Veterans' education, employment, rehabilitation",Government information and archives,Disability assistance,Mental health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 617,https://www.congress.gov/bill/117th-congress/senate-bill/617,117th Congress (2021-2022),Death Tax Repeal Act of 2021,,"Thune, John [Sen.-R-SD]",,3/9/21,36,,,Senate - Finance,Read twice and referred to the Committee on Finance. (text: CR S1425),3/9/21,"Lummis, Cynthia M. [Sen.-R-WY]","Grassley, Chuck [Sen.-R-IA]","McConnell, Mitch [Sen.-R-KY]","Shelby, Richard C. [Sen.-R-AL]","Inhofe, James M. [Sen.-R-OK]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","Barrasso, John [Sen.-R-WY]","Wicker, Roger F. [Sen.-R-MS]","Risch, James E. [Sen.-R-ID]","Blunt, Roy [Sen.-R-MO]","Boozman, John [Sen.-R-AR]","Hoeven, John [Sen.-R-ND]","Moran, Jerry [Sen.-R-KS]","Rubio, Marco [Sen.-R-FL]","Cruz, Ted [Sen.-R-TX]","Fischer, Deb [Sen.-R-NE]","Cotton, Tom [Sen.-R-AR]","Daines, Steve [Sen.-R-MT]","Ernst, Joni [Sen.-R-IA]","Rounds, Mike [Sen.-R-SD]","Kennedy, John [Sen.-R-LA]","Blackburn, Marsha [Sen.-R-TN]","Cramer, Kevin [Sen.-R-ND]","Scott, Rick [Sen.-R-FL]","Marshall, Roger [Sen.-R-KS]","Hagerty, Bill [Sen.-R-TN]","Lee, Mike [Sen.-R-UT]","Braun, Mike [Sen.-R-IN]","Tuberville, Tommy [Sen.-R-AL]","Hawley, Josh [Sen.-R-MO]","Hyde-Smith, Cindy [Sen.-R-MS]","Burr, Richard [Sen.-R-NC]","Toomey, Patrick [Sen.-R-PA]","Lankford, James [Sen.-R-OK]","Scott, Tim [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Transfer and inheritance taxes,Inflation and prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
