Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 538,https://www.congress.gov/bill/115th-congress/senate-bill/538,115th Congress (2017-2018),Timber Innovation Act of 2017,,"Stabenow, Debbie [Sen.-D-MI]",,3/7/17,19,,,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",3/7/17,"Graham, Lindsey [Sen.-R-SC]","Crapo, Mike [Sen.-R-ID]","Cantwell, Maria [Sen.-D-WA]","Tester, Jon [Sen.-D-MT]","Baldwin, Tammy [Sen.-D-WI]","Collins, Susan M. [Sen.-R-ME]","Klobuchar, Amy [Sen.-D-MN]","Shelby, Richard C. [Sen.-R-AL]","Wyden, Ron [Sen.-D-OR]","Wicker, Roger F. [Sen.-R-MS]","Peters, Gary C. [Sen.-D-MI]","Risch, James E. [Sen.-R-ID]","Daines, Steve [Sen.-R-MT]","Merkley, Jeff [Sen.-D-OR]","King, Angus S., Jr. [Sen.-I-ME]","Cochran, Thad [Sen.-R-MS]","Isakson, Johnny [Sen.-R-GA]","Murray, Patty [Sen.-D-WA]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced technology and technological innovations,Building construction,"Environmental assessment, monitoring, research","Forests, forestry, trees",Wildlife conservation and habitat protection,Public Lands and Natural Resources,Research administration and funding,Research and development,Technology transfer and commercialization,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 539,https://www.congress.gov/bill/115th-congress/senate-bill/539,115th Congress (2017-2018),"A bill to designate the area between the intersections of 16th Street, Northwest and Fuller Street, Northwest and 16th Street, Northwest and Euclid Street, Northwest in Washington, District of Columbia, as ""Oswaldo Paya Way"".",,"Cruz, Ted [Sen.-R-TX]",,3/7/17,4,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,3/7/17,"Durbin, Richard J. [Sen.-D-IL]","Menendez, Robert [Sen.-D-NJ]","Nelson, Bill [Sen.-D-FL]","Rubio, Marco [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protest and dissent,Latin America,Human rights,Government Operations and Politics,"Government buildings, facilities, and property",District of Columbia,Cuba,Roads and highways,Congressional tributes,Caribbean area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 540,https://www.congress.gov/bill/115th-congress/senate-bill/540,115th Congress (2017-2018),Mobile Workforce State Income Tax Simplification Act of 2017,,"Thune, John [Sen.-R-SD]",,3/7/17,61,,,Senate - Finance,Committee on Small Business and Entrepreneurship. Hearings held. Hearings printed: S.Hrg. 115-101.,6/14/17,"Peters, Gary C. [Sen.-D-MI]","Udall, Tom [Sen.-D-NM]","Flake, Jeff [Sen.-R-AZ]","Rounds, Mike [Sen.-R-SD]","Murphy, Christopher [Sen.-D-CT]","Hassan, Margaret Wood [Sen.-D-NH]","King, Angus S., Jr. [Sen.-I-ME]","Klobuchar, Amy [Sen.-D-MN]","Baldwin, Tammy [Sen.-D-WI]","Brown, Sherrod [Sen.-D-OH]","Menendez, Robert [Sen.-D-NJ]","Blumenthal, Richard [Sen.-D-CT]","Crapo, Mike [Sen.-R-ID]","Risch, James E. [Sen.-R-ID]","Cantwell, Maria [Sen.-D-WA]","Cruz, Ted [Sen.-R-TX]","Hirono, Mazie K. [Sen.-D-HI]","Cochran, Thad [Sen.-R-MS]","Tillis, Thomas [Sen.-R-NC]","Portman, Rob [Sen.-R-OH]","Grassley, Chuck [Sen.-R-IA]","Reed, Jack [Sen.-D-RI]","Roberts, Pat [Sen.-R-KS]","Isakson, Johnny [Sen.-R-GA]","Perdue, David [Sen.-R-GA]","Fischer, Deb [Sen.-R-NE]","Whitehouse, Sheldon [Sen.-D-RI]","Johnson, Ron [Sen.-R-WI]","Daines, Steve [Sen.-R-MT]","Booker, Cory A. [Sen.-D-NJ]","Lee, Mike [Sen.-R-UT]","Graham, Lindsey [Sen.-R-SC]","Cortez Masto, Catherine [Sen.-D-NV]","Blunt, Roy [Sen.-R-MO]","Boozman, John [Sen.-R-AR]","Cardin, Benjamin L. [Sen.-D-MD]","Wicker, Roger F. [Sen.-R-MS]","Toomey, Patrick [Sen.-R-PA]","Scott, Tim [Sen.-R-SC]","McCain, John [Sen.-R-AZ]","Hyde-Smith, Cindy [Sen.-R-MS]","Moran, Jerry [Sen.-R-KS]","Stabenow, Debbie [Sen.-D-MI]","Hoeven, John [Sen.-R-ND]","Ernst, Joni [Sen.-R-IA]","Nelson, Bill [Sen.-D-FL]","Heinrich, Martin [Sen.-D-NM]","Murray, Patty [Sen.-D-WA]","Van Hollen, Chris [Sen.-D-MD]","Shaheen, Jeanne [Sen.-D-NH]","Donnelly, Joe [Sen.-D-IN]","Young, Todd [Sen.-R-IN]","Rubio, Marco [Sen.-R-FL]","Heller, Dean [Sen.-R-NV]","Capito, Shelley Moore [Sen.-R-WV]","Corker, Bob [Sen.-R-TN]","Collins, Susan M. [Sen.-R-ME]","Cotton, Tom [Sen.-R-AR]","Leahy, Patrick J. [Sen.-D-VT]","Schatz, Brian [Sen.-D-HI]","Barrasso, John [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intergovernmental relations,State and local taxation,Employment taxes,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 541,https://www.congress.gov/bill/115th-congress/senate-bill/541,115th Congress (2017-2018),Macadamia Tree Health Initiative Act of 2017,,"Hirono, Mazie K. [Sen.-D-HI]",,3/7/17,1,,,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",3/7/17,"Schatz, Brian [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Research administration and funding,Agricultural research,Agriculture and Food,Pest management,"Forests, forestry, trees",Insects,Animal and plant health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 542,https://www.congress.gov/bill/115th-congress/senate-bill/542,115th Congress (2017-2018),Safety Over Arbitration Act of 2017,,"Whitehouse, Sheldon [Sen.-D-RI]",,3/7/17,7,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,3/7/17,"Leahy, Patrick J. [Sen.-D-VT]","Murray, Patty [Sen.-D-WA]","Durbin, Richard J. [Sen.-D-IL]","Merkley, Jeff [Sen.-D-OR]","Franken, Al [Sen.-D-MN]","Hirono, Mazie K. [Sen.-D-HI]","Markey, Edward J. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hazardous wastes and toxic substances,Health promotion and preventive care,Law,"Alternative dispute resolution, mediation, arbitration",Contracts and agency,Environmental regulatory procedures,Environmental health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 543,https://www.congress.gov/bill/115th-congress/senate-bill/543,115th Congress (2017-2018),Performance Accountability and Contractor Transparency Act of 2017,,"Tester, Jon [Sen.-D-MT]",,3/7/17,6,,,Senate - Veterans' Affairs,Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 115-299.,5/17/17,"Blumenthal, Richard [Sen.-D-CT]","McCaskill, Claire [Sen.-D-MO]","Manchin, Joe, III [Sen.-D-WV]","Bennet, Michael F. [Sen.-D-CO]","Murray, Patty [Sen.-D-WA]","Baldwin, Tammy [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Congressional oversight,Public contracts and procurement,Government information and archives,Performance measurement,Department of Veterans Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 544,https://www.congress.gov/bill/115th-congress/senate-bill/544,115th Congress (2017-2018),"A bill to amend the Veterans Access, Choice, and Accountability Act of 2014 to modify the termination date for the Veterans Choice Program, and for other purposes.",,"Tester, Jon [Sen.-D-MT]",,3/7/17,21,,,Senate - Veterans' Affairs,Became Public Law No: 115-26.,4/19/17,"McCain, John [Sen.-R-AZ]","Isakson, Johnny [Sen.-R-GA]","Bennet, Michael F. [Sen.-D-CO]","Blumenthal, Richard [Sen.-D-CT]","Boozman, John [Sen.-R-AR]","Moran, Jerry [Sen.-R-KS]","Schatz, Brian [Sen.-D-HI]","Heitkamp, Heidi [Sen.-D-ND]","Rounds, Mike [Sen.-R-SD]","Manchin, Joe, III [Sen.-D-WV]","Baldwin, Tammy [Sen.-D-WI]","Crapo, Mike [Sen.-R-ID]","Nelson, Bill [Sen.-D-FL]","Brown, Sherrod [Sen.-D-OH]","Daines, Steve [Sen.-R-MT]","Hoeven, John [Sen.-R-ND]","Hirono, Mazie K. [Sen.-D-HI]","Peters, Gary C. [Sen.-D-MI]","Van Hollen, Chris [Sen.-D-MD]","Merkley, Jeff [Sen.-D-OR]","King, Angus S., Jr. [Sen.-I-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Disability and paralysis,Health care coverage and access,Health information and medical records,Veterans' medical care,Hospital care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 545,https://www.congress.gov/bill/115th-congress/senate-bill/545,115th Congress (2017-2018),National Right-to-Work Act,,"Paul, Rand [Sen.-R-KY]",,3/7/17,30,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",3/7/17,"Graham, Lindsey [Sen.-R-SC]","Cotton, Tom [Sen.-R-AR]","Rubio, Marco [Sen.-R-FL]","Cruz, Ted [Sen.-R-TX]","Scott, Tim [Sen.-R-SC]","Ernst, Joni [Sen.-R-IA]","Lankford, James [Sen.-R-OK]","Rounds, Mike [Sen.-R-SD]","Grassley, Chuck [Sen.-R-IA]","McCain, John [Sen.-R-AZ]","Strange, Luther [Sen.-R-AL]","Hatch, Orrin G. [Sen.-R-UT]","Wicker, Roger F. [Sen.-R-MS]","Burr, Richard [Sen.-R-NC]","Moran, Jerry [Sen.-R-KS]","Cochran, Thad [Sen.-R-MS]","Cornyn, John [Sen.-R-TX]","Barrasso, John [Sen.-R-WY]","Lee, Mike [Sen.-R-UT]","Enzi, Michael B. [Sen.-R-WY]","Roberts, Pat [Sen.-R-KS]","Hyde-Smith, Cindy [Sen.-R-MS]","Tillis, Thomas [Sen.-R-NC]","Inhofe, James M. [Sen.-R-OK]","Heller, Dean [Sen.-R-NV]","Perdue, David [Sen.-R-GA]","Boozman, John [Sen.-R-AR]","Gardner, Cory [Sen.-R-CO]","Johnson, Ron [Sen.-R-WI]","Risch, James E. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labor and Employment,Labor-management relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 546,https://www.congress.gov/bill/115th-congress/senate-bill/546,115th Congress (2017-2018),American Soda Ash Competitiveness Act,,"Barrasso, John [Sen.-R-WY]",,3/7/17,21,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,3/7/17,"Roberts, Pat [Sen.-R-KS]","Stabenow, Debbie [Sen.-D-MI]","Alexander, Lamar [Sen.-R-TN]","Casey, Robert P., Jr. [Sen.-D-PA]","Blumenthal, Richard [Sen.-D-CT]","Murphy, Christopher [Sen.-D-CT]","Heller, Dean [Sen.-R-NV]","Cochran, Thad [Sen.-R-MS]","Bennet, Michael F. [Sen.-D-CO]","Wyden, Ron [Sen.-D-OR]","Wicker, Roger F. [Sen.-R-MS]","Merkley, Jeff [Sen.-D-OR]","Gardner, Cory [Sen.-R-CO]","Peters, Gary C. [Sen.-D-MI]","Graham, Lindsey [Sen.-R-SC]","Feinstein, Dianne [Sen.-D-CA]","Enzi, Michael B. [Sen.-R-WY]","Cornyn, John [Sen.-R-TX]","Isakson, Johnny [Sen.-R-GA]","Moran, Jerry [Sen.-R-KS]","Blunt, Roy [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User charges and fees,Public Lands and Natural Resources,Mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 547,https://www.congress.gov/bill/115th-congress/senate-bill/547,115th Congress (2017-2018),Senior Financial Empowerment Act of 2017,,"Gillibrand, Kirsten E. [Sen.-D-NY]",,3/7/17,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",3/7/17,"Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aging,Telephone and wireless communication,Commerce,Consumer affairs,"Criminal investigation, prosecution, interrogation",Financial literacy,Fraud offenses and financial crimes,Government information and archives,Internet and video services,Law enforcement administration and funding,Marketing and advertising,Medical research,Neurological disorders,"Social work, volunteer service, charitable organizations",Commemorative events and holidays,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 548,https://www.congress.gov/bill/115th-congress/senate-bill/548,115th Congress (2017-2018),Affordable Housing Credit Improvement Act of 2017,,"Cantwell, Maria [Sen.-D-WA]",,3/7/17,45,,,Senate - Finance,Read twice and referred to the Committee on Finance.,3/7/17,"Nelson, Bill [Sen.-D-FL]","Hassan, Margaret Wood [Sen.-D-NH]","Shaheen, Jeanne [Sen.-D-NH]","Portman, Rob [Sen.-R-OH]","Isakson, Johnny [Sen.-R-GA]","Booker, Cory A. [Sen.-D-NJ]","Murray, Patty [Sen.-D-WA]","Graham, Lindsey [Sen.-R-SC]","Feinstein, Dianne [Sen.-D-CA]","Cardin, Benjamin L. [Sen.-D-MD]","Capito, Shelley Moore [Sen.-R-WV]","Blumenthal, Richard [Sen.-D-CT]","Heitkamp, Heidi [Sen.-D-ND]","Young, Todd [Sen.-R-IN]","Stabenow, Debbie [Sen.-D-MI]","Brown, Sherrod [Sen.-D-OH]","Klobuchar, Amy [Sen.-D-MN]","Leahy, Patrick J. [Sen.-D-VT]","Murkowski, Lisa [Sen.-R-AK]","Hirono, Mazie K. [Sen.-D-HI]","Collins, Susan M. [Sen.-R-ME]","Kaine, Tim [Sen.-D-VA]","Duckworth, Tammy [Sen.-D-IL]","Menendez, Robert [Sen.-D-NJ]","King, Angus S., Jr. [Sen.-I-ME]","Markey, Edward J. [Sen.-D-MA]","Cortez Masto, Catherine [Sen.-D-NV]","Hatch, Orrin G. [Sen.-R-UT]","Schumer, Charles E. [Sen.-D-NY]","Casey, Robert P., Jr. [Sen.-D-PA]","Whitehouse, Sheldon [Sen.-D-RI]","Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Carper, Thomas R. [Sen.-D-DE]","Warren, Elizabeth [Sen.-D-MA]","Harris, Kamala D. [Sen.-D-CA]","Wyden, Ron [Sen.-D-OR]","Merkley, Jeff [Sen.-D-OR]","Bennet, Michael F. [Sen.-D-CO]","Heller, Dean [Sen.-R-NV]","Schatz, Brian [Sen.-D-HI]","Sanders, Bernard [Sen.-I-VT]","Scott, Tim [Sen.-R-SC]","Jones, Doug [Sen.-D-AL]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,State and local finance,Securities,Residential rehabilitation and home repair,Low- and moderate-income housing,Inflation and prices,Indian social and development programs,Income tax credits,Housing supply and affordability,Housing finance and home ownership,Energy efficiency and conservation,Business investment and capital,Alternative and renewable resources,Building construction,State and local government operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 549,https://www.congress.gov/bill/115th-congress/senate-bill/549,115th Congress (2017-2018),A bill to block implementation of the Executive Order that restricts individuals from certain countries from entering the United States.,,"Murphy, Christopher [Sen.-D-CT]",,3/7/17,17,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,3/7/17,"Cantwell, Maria [Sen.-D-WA]","Carper, Thomas R. [Sen.-D-DE]","Sanders, Bernard [Sen.-I-VT]","Merkley, Jeff [Sen.-D-OR]","Shaheen, Jeanne [Sen.-D-NH]","Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Baldwin, Tammy [Sen.-D-WI]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Van Hollen, Chris [Sen.-D-MD]","Peters, Gary C. [Sen.-D-MI]","Hassan, Margaret Wood [Sen.-D-NH]","Leahy, Patrick J. [Sen.-D-VT]","Murray, Patty [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East,"Presidents and presidential powers, Vice Presidents","Refugees, asylum, displaced persons",Religion,Somalia,Sudan,Syria,Travel and tourism,Visas and passports,Yemen,Immigration,Executive agency funding and structure,Department of Homeland Security,Border security and unlawful immigration,Africa,Immigration status and procedures,Iran,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 550,https://www.congress.gov/bill/115th-congress/senate-bill/550,115th Congress (2017-2018),Restoring Statutory Rights and Interests of the States Act of 2017,,"Leahy, Patrick J. [Sen.-D-VT]",,3/7/17,15,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S1642),3/7/17,"Murray, Patty [Sen.-D-WA]","Baldwin, Tammy [Sen.-D-WI]","Markey, Edward J. [Sen.-D-MA]","Durbin, Richard J. [Sen.-D-IL]","Whitehouse, Sheldon [Sen.-D-RI]","Shaheen, Jeanne [Sen.-D-NH]","Franken, Al [Sen.-D-MN]","Coons, Christopher A. [Sen.-D-DE]","Hirono, Mazie K. [Sen.-D-HI]","Warren, Elizabeth [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Blumenthal, Richard [Sen.-D-CT]","Gillibrand, Kirsten E. [Sen.-D-NY]","Heitkamp, Heidi [Sen.-D-ND]","Brown, Sherrod [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alternative dispute resolution, mediation, arbitration",Civil actions and liability,Contracts and agency,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 551,https://www.congress.gov/bill/115th-congress/senate-bill/551,115th Congress (2017-2018),Nogales Wastewater Fairness Act,,"McCain, John [Sen.-R-AZ]",,3/7/17,1,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,3/7/17,"Flake, Jeff [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solid waste and recycling,Water quality,Pipelines,Mexico,Latin America,Environmental Protection,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
