Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 1188,https://www.congress.gov/bill/117th-congress/senate-bill/1188,117th Congress (2021-2022),SFC Heath Robinson Burn Pit Transparency Act,,"Brown, Sherrod [Sen.-D-OH]",,4/15/21,1,,,Senate - Veterans' Affairs,Committee on Veterans' Affairs. Hearings held.,4/28/21,"Portman, Rob [Sen.-R-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Health care coverage and access,Congressional oversight,Veterans' medical care,Health facilities and institutions,Military personnel and dependents,Government information and archives,Iraq,Asia,Hazardous wastes and toxic substances,Afghanistan,Fires,Health information and medical records,Middle East,Air quality,Solid waste and recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1193,https://www.congress.gov/bill/117th-congress/senate-bill/1193,117th Congress (2021-2022),United States-Israel Cybersecurity Cooperation Enhancement Act of 2021,,"Rosen, Jacky [Sen.-D-NV]",,4/15/21,4,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,4/15/21,"Gillibrand, Kirsten E. [Sen.-D-NY]","Collins, Susan M. [Sen.-R-ME]","Whitehouse, Sheldon [Sen.-D-RI]","Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Affairs,Computer security and identity theft,Research administration and funding,Research and development,Advisory bodies,International organizations and cooperation,Middle East,Technology transfer and commercialization,Scientific communication,Israel,"Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1194,https://www.congress.gov/bill/117th-congress/senate-bill/1194,117th Congress (2021-2022),AMIGOS Act,,"Whitehouse, Sheldon [Sen.-D-RI]",,4/15/21,1,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,4/15/21,"Toomey, Patrick [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immigration,Foreign labor,Portugal,Europe,Visas and passports,U.S. and foreign investments,Immigration status and procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1195,https://www.congress.gov/bill/117th-congress/senate-bill/1195,117th Congress (2021-2022),Healthy Families Act,,"Murray, Patty [Sen.-D-WA]",,4/15/21,37,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",4/15/21,"Cardin, Benjamin L. [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]","Reed, Jack [Sen.-D-RI]","Warren, Elizabeth [Sen.-D-MA]","Cantwell, Maria [Sen.-D-WA]","Van Hollen, Chris [Sen.-D-MD]","Cortez Masto, Catherine [Sen.-D-NV]","Wyden, Ron [Sen.-D-OR]","Kaine, Tim [Sen.-D-VA]","Blumenthal, Richard [Sen.-D-CT]","Whitehouse, Sheldon [Sen.-D-RI]","Menendez, Robert [Sen.-D-NJ]","Baldwin, Tammy [Sen.-D-WI]","Peters, Gary C. [Sen.-D-MI]","Hickenlooper, John W. [Sen.-D-CO]","King, Angus S., Jr. [Sen.-I-ME]","Sanders, Bernard [Sen.-I-VT]","Markey, Edward J. [Sen.-D-MA]","Bennet, Michael F. [Sen.-D-CO]","Casey, Robert P., Jr. [Sen.-D-PA]","Padilla, Alex [Sen.-D-CA]","Lujan, Ben Ray [Sen.-D-NM]","Durbin, Richard J. [Sen.-D-IL]","Leahy, Patrick J. [Sen.-D-VT]","Hirono, Mazie K. [Sen.-D-HI]","Klobuchar, Amy [Sen.-D-MN]","Coons, Christopher A. [Sen.-D-DE]","Merkley, Jeff [Sen.-D-OR]","Rosen, Jacky [Sen.-D-NV]","Booker, Cory A. [Sen.-D-NJ]","Brown, Sherrod [Sen.-D-OH]","Murphy, Christopher [Sen.-D-CT]","Hassan, Margaret Wood [Sen.-D-NH]","Duckworth, Tammy [Sen.-D-IL]","Schatz, Brian [Sen.-D-HI]","Schumer, Charles E. [Sen.-D-NY]","Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic violence and child abuse,Employment discrimination and employee rights,Marriage and family status,Small business,Civil actions and liability,Government liability,Congressional agencies,Medical tests and diagnostic methods,Assault and harassment offenses,Library of Congress,Congressional officers and employees,Department of Labor,"Government employee pay, benefits, personnel management",Government information and archives,Sex offenses,State and local government operations,Congressional oversight,Labor and Employment,Employee leave,Government Accountability Office (GAO),Government studies and investigations,Merit Systems Protection Board,Administrative law and regulatory procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1197,https://www.congress.gov/bill/117th-congress/senate-bill/1197,117th Congress (2021-2022),QUANTUM for National Security Act of 2021,,"Hassan, Margaret Wood [Sen.-D-NH]",,4/15/21,1,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,4/15/21,"Thune, John [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Research and development,Science and engineering education,Student aid and college costs,Research administration and funding,Public-private cooperation,Minority education,"Military procurement, research, weapons development",Higher education,Government studies and investigations,"Government employee pay, benefits, personnel management",Executive agency funding and structure,Employee hiring,Department of Defense,Congressional oversight,Computers and information technology,China,Asia,Advisory bodies,Advanced technology and technological innovations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1198,https://www.congress.gov/bill/117th-congress/senate-bill/1198,117th Congress (2021-2022),Solid Start Act of 2022,,"Hassan, Margaret Wood [Sen.-D-NH]",,4/15/21,5,,,Senate - Veterans' Affairs,Became Public Law No: 117-205.,10/17/22,"Cortez Masto, Catherine [Sen.-D-NV]","Cassidy, Bill [Sen.-R-LA]","Cramer, Kevin [Sen.-R-ND]","Sinema, Kyrsten [Sen.-D-AZ]","Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Veterans' organizations and recognition,Women's health,Government information and archives,Veterans' medical care,"Veterans' education, employment, rehabilitation",Military personnel and dependents,"Veterans' loans, housing, homeless programs",Mental health,Health care coverage and access,Veterans' pensions and compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1201,https://www.congress.gov/bill/117th-congress/senate-bill/1201,117th Congress (2021-2022),"United States Climate Leadership in International Mitigation, Adaptation, and Technology Enhancement Act of 2021",,"Menendez, Robert [Sen.-D-NJ]",,4/19/21,10,,,Senate - Foreign Relations,Committee on Homeland Security and Governmental Affairs. Ordered to be reported favorably.,12/15/21,"Markey, Edward J. [Sen.-D-MA]","Kaine, Tim [Sen.-D-VA]","Schatz, Brian [Sen.-D-HI]","Merkley, Jeff [Sen.-D-OR]","Shaheen, Jeanne [Sen.-D-NH]","Van Hollen, Chris [Sen.-D-MD]","Booker, Cory A. [Sen.-D-NJ]","Hirono, Mazie K. [Sen.-D-HI]","Cardin, Benjamin L. [Sen.-D-MD]","Murphy, Christopher [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employment and training programs,Energy efficiency and conservation,Environmental technology,Hong Kong,Human rights,Infrastructure development,Labor standards,Latin America,Motor vehicles,Multilateral development programs,Oceania,Oil and gas,Pedestrians and bicycling,Public-private cooperation,South Korea,Telephone and wireless communication,Tibet,U.S. and foreign investments,Agricultural practices and innovations,Asia,Australia,China,Coal,Community life and organization,International Affairs,Water use and supply,Agricultural conservation and pollution,Air quality,Alternative and renewable resources,Aquatic ecology,Arctic and polar regions,Atmospheric science and weather,Aviation and airports,Canada,Climate change and greenhouse gases,Conflicts and wars,Congressional oversight,Denmark,Department of State,Department of Transportation,"Diplomacy, foreign officials, Americans abroad",Earth sciences,Ecology,"Environmental assessment, monitoring, research",Environmental education,Environmental health,Europe,Farmland,Federal officials,Finland,Fires,Floods and storm protection,"Food supply, safety, and labeling",Foreign aid and international relief,"Forests, forestry, trees",Government studies and investigations,Greenland,"Hybrid, electric, and advanced technology vehicles",Iceland,International law and treaties,International organizations and cooperation,Land use and conservation,"Lighting, heating, cooling","Marine and coastal resources, fisheries",Marine and inland water transportation,Norway,Russia,"Sovereignty, recognition, national governance and status",Sweden,Transportation safety and security,Administrative law and regulatory procedures,Lakes and rivers,Livestock,Mexico,Mining,Motor fuels,Roads and highways,Transportation costs,Women's rights,Africa,Brazil,Caribbean area,Dams and canals,Economic development,Electric power generation and transmission,"Energy storage, supplies, demand",European Union,Executive agency funding and structure,India,Indonesia,Intellectual property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1202,https://www.congress.gov/bill/117th-congress/senate-bill/1202,117th Congress (2021-2022),Reconnecting Communities Act,,"Carper, Thomas R. [Sen.-D-DE]",,4/19/21,8,,,Senate - Environment and Public Works,Committee on Homeland Security and Governmental Affairs. Ordered to be reported favorably.,12/15/21,"Padilla, Alex [Sen.-D-CA]","Schumer, Charles E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Warnock, Raphael G. [Sen.-D-GA]","Markey, Edward J. [Sen.-D-MA]","Gillibrand, Kirsten E. [Sen.-D-NY]","Cardin, Benjamin L. [Sen.-D-MD]","Van Hollen, Chris [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,Transportation programs funding,Transportation costs,Roads and highways,Regional and metropolitan planning,Railroads,Public contracts and procurement,Transportation safety and security,Government studies and investigations,Infrastructure development,Land use and conservation,Minority and disadvantaged businesses,Noise pollution,Pedestrians and bicycling,Poverty and welfare assistance,Environmental health,"Environmental assessment, monitoring, research",Employee hiring,Economic development,Congressional oversight,Community life and organization,Advisory bodies,Air quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1207,https://www.congress.gov/bill/117th-congress/senate-bill/1207,117th Congress (2021-2022),Community-Based Sentencing Alternatives for Caretakers Act of 2021,,"Whitehouse, Sheldon [Sen.-D-RI]",,4/19/21,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,4/19/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,Mental health,"Drug, alcohol, tobacco use",Criminal procedure and sentencing,Community life and organization,Employment and training programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1208,https://www.congress.gov/bill/117th-congress/senate-bill/1208,117th Congress (2021-2022),"A bill to amend title 31, United States Code, to provide for the issuance of Green Bonds and to establish the United States Green Bank, and for other purposes.",,"Murphy, Christopher [Sen.-D-CT]",,4/19/21,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,4/19/21,"Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,Regional and metropolitan planning,Government corporations and government-sponsored enterprises,Water use and supply,"Hybrid, electric, and advanced technology vehicles",Government lending and loan guarantees,Solid waste and recycling,Credit and credit markets,State and local finance,Securities,Energy efficiency and conservation,Electric power generation and transmission,Corporate finance and management,Agricultural conservation and pollution,Public transit,"Forests, forestry, trees",Motor fuels,Land use and conservation,Climate change and greenhouse gases,Air quality,Agricultural practices and innovations,Executive agency funding and structure,"Energy storage, supplies, demand",Alternative and renewable resources,Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1210,https://www.congress.gov/bill/117th-congress/senate-bill/1210,117th Congress (2021-2022),Big Cat Public Safety Act,,"Blumenthal, Richard [Sen.-D-CT]",,4/19/21,48,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,4/19/21,"Bennet, Michael F. [Sen.-D-CO]","Collins, Susan M. [Sen.-R-ME]","Carper, Thomas R. [Sen.-D-DE]","Burr, Richard [Sen.-R-NC]","Feinstein, Dianne [Sen.-D-CA]","Murphy, Christopher [Sen.-D-CT]","Casey, Robert P., Jr. [Sen.-D-PA]","Shaheen, Jeanne [Sen.-D-NH]","Warner, Mark R. [Sen.-D-VA]","Gillibrand, Kirsten E. [Sen.-D-NY]","King, Angus S., Jr. [Sen.-I-ME]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Rosen, Jacky [Sen.-D-NV]","Reed, Jack [Sen.-D-RI]","Klobuchar, Amy [Sen.-D-MN]","Merkley, Jeff [Sen.-D-OR]","Schatz, Brian [Sen.-D-HI]","Padilla, Alex [Sen.-D-CA]","Peters, Gary C. [Sen.-D-MI]","Van Hollen, Chris [Sen.-D-MD]","Baldwin, Tammy [Sen.-D-WI]","Portman, Rob [Sen.-R-OH]","Brown, Sherrod [Sen.-D-OH]","Marshall, Roger [Sen.-R-KS]","Wyden, Ron [Sen.-D-OR]","Cantwell, Maria [Sen.-D-WA]","Coons, Christopher A. [Sen.-D-DE]","Menendez, Robert [Sen.-D-NJ]","Cortez Masto, Catherine [Sen.-D-NV]","Hassan, Margaret Wood [Sen.-D-NH]","Lujan, Ben Ray [Sen.-D-NM]","Duckworth, Tammy [Sen.-D-IL]","Whitehouse, Sheldon [Sen.-D-RI]","Smith, Tina [Sen.-D-MN]","Cardin, Benjamin L. [Sen.-D-MD]","Hickenlooper, John W. [Sen.-D-CO]","Sanders, Bernard [Sen.-I-VT]","Murray, Patty [Sen.-D-WA]","Leahy, Patrick J. [Sen.-D-VT]","Sinema, Kyrsten [Sen.-D-AZ]","Heinrich, Martin [Sen.-D-NM]","Durbin, Richard J. [Sen.-D-IL]","Stabenow, Debbie [Sen.-D-MI]","Warnock, Raphael G. [Sen.-D-GA]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animals,Crimes against animals and natural resources,Mammals,Animal protection and human-animal relationships,Civil actions and liability,Trade restrictions,"Museums, exhibitions, cultural centers",Wildlife conservation and habitat protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1211,https://www.congress.gov/bill/117th-congress/senate-bill/1211,117th Congress (2021-2022),Cahokia Mounds Mississippian Culture National Historical Park Act,,"Durbin, Richard J. [Sen.-D-IL]",,4/19/21,1,,,Senate - Energy and Natural Resources,Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held.,9/21/22,"Duckworth, Tammy [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Missouri,"Parks, recreation areas, trails",Illinois,Land transfers,General Native American affairs matters,Historic sites and heritage areas,Public-private cooperation,Historical and cultural resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1212,https://www.congress.gov/bill/117th-congress/senate-bill/1212,117th Congress (2021-2022),Investing in Tomorrow's Workforce Act of 2021,,"Durbin, Richard J. [Sen.-D-IL]",,4/19/21,3,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (text: CR S2037-2038)",4/19/21,"Feinstein, Dianne [Sen.-D-CA]","Cortez Masto, Catherine [Sen.-D-NV]","Warnock, Raphael G. [Sen.-D-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employee benefits and pensions,Employee hiring,Government information and archives,"Hybrid, electric, and advanced technology vehicles",Computer security and identity theft,Computers and information technology,Congressional oversight,Manufacturing,Child care and development,Advanced technology and technological innovations,Wages and earnings,Unemployment,Labor market,Employment discrimination and employee rights,Public-private cooperation,Government studies and investigations,Employee leave,Labor and Employment,Employment and training programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1213,https://www.congress.gov/bill/117th-congress/senate-bill/1213,117th Congress (2021-2022),National SEAL Act of 2021,,"Van Hollen, Chris [Sen.-D-MD]",,4/19/21,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",4/19/21,"Blunt, Roy [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Science, Technology, Communications",Employment and training programs,Advanced technology and technological innovations,Congressional oversight,Government studies and investigations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1217,https://www.congress.gov/bill/117th-congress/senate-bill/1217,117th Congress (2021-2022),Climate Risk Disclosure Act of 2021,,"Warren, Elizabeth [Sen.-D-MA]",,4/19/21,17,,,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking, Housing, and Urban Affairs. Hearings held.",9/14/21,"Baldwin, Tammy [Sen.-D-WI]","Gillibrand, Kirsten E. [Sen.-D-NY]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Van Hollen, Chris [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]","Brown, Sherrod [Sen.-D-OH]","Feinstein, Dianne [Sen.-D-CA]","Schumer, Charles E. [Sen.-D-NY]","Carper, Thomas R. [Sen.-D-DE]","Klobuchar, Amy [Sen.-D-MN]","Whitehouse, Sheldon [Sen.-D-RI]","Merkley, Jeff [Sen.-D-OR]","Bennet, Michael F. [Sen.-D-CO]","Cardin, Benjamin L. [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,Administrative law and regulatory procedures,Water use and supply,Oil and gas,Coal,Securities,Financial services and investments,Corporate finance and management,Securities and Exchange Commission (SEC),Climate change and greenhouse gases,Air quality,Business records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1219,https://www.congress.gov/bill/117th-congress/senate-bill/1219,117th Congress (2021-2022),A bill to establish the policy of the United States regarding the no-first-use of nuclear weapons.,,"Warren, Elizabeth [Sen.-D-MA]",,4/19/21,5,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,4/19/21,"Sanders, Bernard [Sen.-I-VT]","Leahy, Patrick J. [Sen.-D-VT]","Feinstein, Dianne [Sen.-D-CA]","Merkley, Jeff [Sen.-D-OR]","Markey, Edward J. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Affairs,Military operations and strategy,Nuclear weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1220,https://www.congress.gov/bill/117th-congress/senate-bill/1220,117th Congress (2021-2022),United States Cadet Nurse Corps Service Recognition Act of 2021,,"Warren, Elizabeth [Sen.-D-MA]",,4/19/21,24,,,Senate - Veterans' Affairs,Committee on Veterans' Affairs. Ordered to be reported without amendment favorably.,7/28/21,"Portman, Rob [Sen.-R-OH]","Murray, Patty [Sen.-D-WA]","Wyden, Ron [Sen.-D-OR]","Collins, Susan M. [Sen.-R-ME]","Stabenow, Debbie [Sen.-D-MI]","Menendez, Robert [Sen.-D-NJ]","Brown, Sherrod [Sen.-D-OH]","Casey, Robert P., Jr. [Sen.-D-PA]","Klobuchar, Amy [Sen.-D-MN]","Tester, Jon [Sen.-D-MT]","Merkley, Jeff [Sen.-D-OR]","Blumenthal, Richard [Sen.-D-CT]","Boozman, John [Sen.-R-AR]","Hoeven, John [Sen.-R-ND]","Baldwin, Tammy [Sen.-D-WI]","King, Angus S., Jr. [Sen.-I-ME]","Markey, Edward J. [Sen.-D-MA]","Cassidy, Bill [Sen.-R-LA]","Daines, Steve [Sen.-R-MT]","Van Hollen, Chris [Sen.-D-MD]","Cramer, Kevin [Sen.-R-ND]","Booker, Cory A. [Sen.-D-NJ]","Leahy, Patrick J. [Sen.-D-VT]","Lujan, Ben Ray [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Veterans' organizations and recognition,Nursing,Monuments and memorials,Military personnel and dependents,Military medicine,Health personnel,Conflicts and wars,Cemeteries and funerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
